target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	225.87	218	76.3316
Smp_197050.1	186	41.7779	55	104.117
Smp_160500.1	5316	5138.7	279	4.29396
Smp_160490.1	3894	3716.7	247	5.25589
Smp_070540.1	5995	5817.7	1248.92	16.9781
Smp_160480.1	791	613.704	34.7728	4.48114
Smp_160480.2	659	481.855	41.2272	6.76667
Smp_160470.1	3111	2933.7	455	12.266
Smp_160460.1	7563	7385.7	712.168	7.62602
Smp_160450.1	3576	3398.7	664	15.4512
Smp_191780.1	297	126.391	2	1.25148
Smp_160440.1	2374	2196.7	519	18.6854
Smp_160430.1	369	193.648	168	68.6125
Smp_160420.1	417	240.553	242	79.5631
Smp_160410.1	7034	6856.7	56.3113	0.649513
Smp_160410.2	875	697.704	346.585	39.2867
Smp_092930.1	1176	998.704	527	41.7331
Smp_092950.1	5574	5396.7	1449	21.2348
Smp_173020.1	2529	2351.7	220.117	7.40249
Smp_200370.1	204	52.5556	3.49814	5.26411
Smp_200460.1	246	83.3067	6	5.69612
Smp_158440.1	660	482.855	163	26.698
Smp_158430.1	813	635.704	175	21.7716
Smp_067090.1	434	257.379	306	94.0277
Smp_158420.1	960	782.704	2.00016	0.202104
Smp_067060.1	1205	1027.7	38134.8	2934.68
Smp_067050.1	54	22	0	0
Smp_158410.1	597	419.922	0	0
Smp_184360.1	369	193.648	0	0
Smp_193860.1	655	477.873	1	0.165499
Smp_179960.1	357	182.116	0	0
Smp_103610.1	1203	1025.7	59069.3	4554.57
Smp_179950.1	912	734.704	106.808	11.4973
Smp_168300.1	288	118.395	0	0
Smp_168290.1	336	162.222	0	0
Smp_085010.1	1122	944.704	4807	402.426
Smp_168280.1	327	153.786	0	0
Smp_200280.1	246	83.3067	1211	1149.67
Smp_180980.1	474	297.105	13	3.46051
Smp_196410.1	1479	1301.7	1	0.0607568
Smp_105320.1	401	224.895	1388	488.108
Smp_105330.1	975	797.704	764	75.7459
Smp_105340.1	3678	3500.7	38	0.858491
Smp_105360.1	3393	3215.7	55	1.35268
Smp_105370.1	1002	824.704	121	11.6036
Smp_181040.1	2006	1828.7	71	3.07059
Smp_181050.1	6838	6660.7	4289	50.9264
Smp_178010.1	488	311.039	892.101	226.833
Smp_016050.1	3316	3138.7	2735	68.9151
Smp_130910.1	1113	935.704	839	70.9138
Smp_172850.1	647	469.89	881	148.282
Smp_130920.1	2289	2111.7	335	12.5464
Smp_130930.1	489	312.039	173	43.8475
Smp_016090.1	6991	6813.7	1563	18.1419
Smp_130940.1	13950	13772.7	799.395	4.59039
Smp_209000.1	222131	221954	4557.57	1.62397
Smp_016200.1	1177	999.704	196.59	15.5524
Smp_016200.4	5574	5396.7	79.9268	1.17131
Smp_016200.3	1492	1314.7	541.432	32.5704
Smp_016180.1	5049	4871.7	101.976	1.65547
Smp_130980.1	1194	1016.7	605.501	47.1007
Smp_130970.1	1527	1349.7	141.186	8.27293
Smp_130960.1	2352	2174.7	13.1411	0.477903
Smp_016130.1	5892	5714.7	286.772	3.96871
