target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	235.922	187	75.1606
Smp_197050.1	186	47.2487	34	68.2348
Smp_160500.1	5316	5148.57	171	3.14938
Smp_160490.1	3894	3726.57	209	5.31806
Smp_070540.1	5995	5827.57	807.32	13.1363
Smp_160480.1	791	623.573	5.45124	0.828942
Smp_160480.2	659	491.676	7.54876	1.45584
Smp_160470.1	3111	2943.57	87	2.8026
Smp_160460.1	7563	7395.57	404.099	5.18123
Smp_160450.1	3576	3408.57	779	21.6711
Smp_191780.1	297	135.68	27	18.8697
Smp_160440.1	2374	2206.57	182	7.82113
Smp_160430.1	369	203.646	130	60.5319
Smp_160420.1	417	250.605	123	46.5405
Smp_160410.1	7034	6866.57	26.792	0.369983
Smp_160410.2	875	707.573	331.497	44.4247
Smp_092930.1	1176	1008.57	161	15.1368
Smp_092950.1	5574	5406.57	348	6.10342
Smp_173020.1	2529	2361.57	94.6072	3.79873
Smp_200370.1	204	59.2453	6.24282	9.99178
Smp_200460.1	246	91.3206	9	9.34523
Smp_158440.1	660	492.676	122	23.4809
Smp_158430.1	813	645.573	157	23.0606
Smp_067090.1	434	267.372	550	195.058
Smp_158420.1	960	792.573	4.00062	0.478635
Smp_067060.1	1205	1037.57	15491.5	1415.76
Smp_067050.1	54	25.2222	0	0
Smp_158410.1	597	429.676	0	0
Smp_184360.1	369	203.646	0	0
Smp_193860.1	655	487.676	0	0
Smp_179960.1	357	192.024	0	0
Smp_103610.1	1203	1035.57	17289.9	1583.17
Smp_179950.1	912	744.573	9.57168	1.21898
Smp_168300.1	288	127.428	0	0
Smp_168290.1	336	171.969	0	0
Smp_085010.1	1122	954.573	1000	99.3361
Smp_168280.1	327	163.453	0	0
Smp_200280.1	246	91.3206	153	158.869
Smp_180980.1	474	307.103	3	0.926303
Smp_196410.1	1479	1311.57	0	0
Smp_105320.1	401	234.945	1362	549.701
Smp_105330.1	975	807.573	411	48.2587
Smp_105340.1	3678	3510.57	149	4.02462
Smp_105360.1	3393	3225.57	62	1.82264
Smp_105370.1	1002	834.573	117	13.2934
Smp_181040.1	2006	1838.57	50	2.57873
Smp_181050.1	6838	6670.57	1196	17.0014
Smp_178010.1	488	320.977	1858.84	549.141
Smp_016050.1	3316	3148.57	1046	31.5017
Smp_130910.1	1113	945.573	420	42.1182
Smp_172850.1	647	479.676	1472	290.989
Smp_130920.1	2289	2121.57	170	7.59814
Smp_130930.1	489	321.977	190	55.9558
Smp_016090.1	6991	6823.57	565	7.8515
Smp_130940.1	13950	13782.6	869.559	5.98253
Smp_209000.1	222131	221964	3273.08	1.39827
Smp_016200.1	1177	1009.57	0	0
Smp_016200.4	5574	5406.57	55.3922	0.971499
Smp_016200.3	1492	1324.57	659.085	47.1826
Smp_016180.1	5049	4881.57	14.9568	0.290533
Smp_130980.1	1194	1026.57	379.755	35.0776
Smp_130970.1	1527	1359.57	4.76861	0.332587
Smp_130960.1	2352	2184.57	30.8731	1.34008
Smp_016130.1	5892	5724.57	457.71	7.58164
Smp_130950.1	1715	1547.57	2745.76	168.239
Smp_171010.1	2046	1878.57	75	3.78573
Smp_089570.1	427	260.49	2331	848.529
Smp_171020.1	3829	3661.57	4039	104.598
Smp_089590.1	1677	1509.57	623	39.1336
Smp_171030.1	1065	897.573	45	4.754
Smp_171040.1	3960	3792.57	733	18.3268
Smp_089630.1	1707	1539.57	337	20.7561
Smp_089640.2	1176	1008.57	1736.1	163.224
Smp_089640.3	2750	2582.57	65.898	2.41956
Smp_089650.1	2451	2283.57	221	9.17685
Smp_089670.1	6354	6186.57	4226	64.7732
Smp_171060.1	819	651.573	7	1.01871
Smp_171070.1	6709	6541.57	249.835	3.62149
Smp_089700.1	3334	3166.57	2256	67.5563
Smp_171080.1	720	552.573	635	108.968
Smp_171090.1	2014	1846.57	586	30.0917
Smp_196980.1	225	74.6623	13	16.5104
Smp_196580.1	51	22.2222	0	0
