target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	231.95	193	68.0325
Smp_197050.1	186	45.3379	32	57.7087
Smp_160500.1	5316	5145.08	163	2.59029
Smp_160490.1	3894	3723.08	215	4.7216
Smp_070540.1	5995	5824.08	719.208	10.0967
Smp_160480.1	791	620.079	25.7616	3.39687
Smp_160480.2	659	488.079	28.2384	4.73045
Smp_160470.1	3111	2940.08	336	9.34401
Smp_160460.1	7563	7392.08	852.302	9.42714
Smp_160450.1	3576	3405.08	516	12.3901
Smp_191780.1	297	132.482	13	8.02304
Smp_160440.1	2374	2203.08	340	12.6183
Smp_160430.1	369	200.003	157	64.1824
Smp_160420.1	417	246.781	181	59.9681
Smp_160410.1	7034	6863.08	36.9114	0.439739
Smp_160410.2	875	704.079	240.755	27.958
Smp_092930.1	1176	1005.08	379	30.8313
Smp_092950.1	5574	5403.08	716	10.8349
Smp_173020.1	2529	2358.08	157.082	5.44653
Smp_200370.1	204	57.1635	0	0
Smp_200460.1	246	88.7877	4	3.6835
Smp_158440.1	660	489.079	121	20.2283
Smp_158430.1	813	642.079	79	10.0599
Smp_067090.1	434	263.604	257	79.7141
Smp_158420.1	960	789.079	1.00005	0.103623
Smp_067060.1	1205	1034.08	25622.2	2025.89
Smp_067050.1	54	16	0	0
Smp_158410.1	597	426.079	0	0
Smp_184360.1	369	200.003	0	0
Smp_193860.1	655	484.079	0	0
Smp_179960.1	357	188.403	0	0
Smp_103610.1	1203	1032.08	33265.2	2635.3
Smp_179950.1	912	741.079	32.6133	3.59818
Smp_168300.1	288	124.423	0	0
Smp_168290.1	336	168.326	0	0
Smp_085010.1	1122	951.079	3053	262.46
Smp_168280.1	327	159.875	0	0
Smp_200280.1	246	88.7877	696	640.929
Smp_180980.1	474	303.296	9	2.42621
Smp_196410.1	1479	1308.08	0	0
Smp_105320.1	401	230.985	1113	393.972
Smp_105330.1	975	804.079	510	51.859
Smp_105340.1	3678	3507.08	80	1.86508
Smp_105360.1	3393	3222.08	54	1.37028
Smp_105370.1	1002	831.079	98	9.64133
Smp_181040.1	2006	1835.08	50	2.22776
Smp_181050.1	6838	6667.08	2756	33.7984
Smp_178010.1	488	317.234	546.204	140.776
