target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	239.404	226	75.3515
Smp_197050.1	186	51.114	70	109.313
Smp_160500.1	5316	5152.25	202	3.12946
Smp_160490.1	3894	3730.25	251	5.37094
Smp_070540.1	5995	5831.25	1303	17.836
Smp_160480.1	791	627.245	18.8264	2.39576
Smp_160480.2	659	495.245	25.1736	4.05733
Smp_160470.1	3111	2947.25	225	6.09369
Smp_160460.1	7563	7399.25	1120.28	12.0851
Smp_160450.1	3576	3412.25	564	13.1933
Smp_191780.1	297	139.47	16	9.15703
Smp_160440.1	2374	2210.25	482	17.4069
Smp_160430.1	369	207.224	183	70.4896
Smp_160420.1	417	254.157	237	74.4323
Smp_160410.1	7034	6870.25	61.2593	0.711728
Smp_160410.2	875	711.245	377.823	42.4017
Smp_092930.1	1176	1012.25	506	39.9006
Smp_092950.1	5574	5410.25	1038.63	15.3235
Smp_173020.1	2529	2365.25	263.3	8.88564
Smp_200370.1	204	63.3549	1.3693	1.72517
Smp_200460.1	246	95.1701	7	5.871
Smp_158440.1	660	496.245	169	27.1834
Smp_158430.1	813	649.245	138	16.9662
Smp_067090.1	434	270.965	307	90.4356
Smp_158420.1	960	796.245	22.0089	2.2063
Smp_067060.1	1205	1041.25	23409.3	1794.52
Smp_067050.1	54	22.4	0	0
Smp_158410.1	597	433.262	1	0.184231
Smp_184360.1	369	207.224	0	0
Smp_193860.1	655	491.245	0	0
Smp_179960.1	357	195.695	0	0
Smp_103610.1	1203	1039.25	75418.5	5792.61
Smp_179950.1	912	748.245	126.227	13.4655
Smp_168300.1	288	131.41	0	0
Smp_168290.1	336	175.681	0	0
Smp_085010.1	1122	958.245	316	26.3223
Smp_168280.1	327	167.171	0	0
Smp_200280.1	246	95.1701	548	459.615
Smp_180980.1	474	310.631	8	2.0557
Smp_196410.1	1479	1315.25	0	0
Smp_105320.1	401	238.422	1749	585.541
Smp_105330.1	975	811.245	636	62.5776
Smp_105340.1	3678	3514.25	140	3.17988
Smp_105360.1	3393	3229.25	76	1.87857
Smp_105370.1	1002	838.245	88	8.37965
Smp_181040.1	2006	1842.25	42	1.81977
Smp_181050.1	6838	6674.25	3594	42.9824
Smp_178010.1	488	324.534	1123.22	276.26
Smp_016050.1	3316	3152.25	2355	59.6328
Smp_130910.1	1113	949.245	595	50.0326
Smp_172850.1	647	483.245	1069	176.573
Smp_130920.1	2289	2125.25	292	10.967
Smp_130930.1	489	325.534	130	31.8758
Smp_016090.1	6991	6827.25	1338	15.6432
Smp_130940.1	13950	13786.2	951.994	5.51191
Smp_209000.1	222131	221967	4283.51	1.54037
Smp_016200.1	1177	1013.25	87.0995	6.86144
Smp_016200.4	5574	5410.25	106.952	1.57792
Smp_016200.3	1492	1328.25	709.35	42.6282
Smp_016180.1	5049	4885.25	182.39	2.98009
Smp_130980.1	1194	1030.25	561.528	43.5056
Smp_130970.1	1527	1363.25	203.613	11.9219
Smp_130960.1	2352	2188.25	0	0
Smp_016130.1	5892	5728.25	247.962	3.45524
Smp_130950.1	1715	1551.25	1542.59	79.3749
Smp_171010.1	2046	1882.25	84	3.56219
Smp_089570.1	427	264.016	2060	622.803
Smp_171020.1	3829	3665.25	3033	66.0516
Smp_089590.1	1677	1513.25	1122	59.1831
Smp_171030.1	1065	901.245	167	14.7907
Smp_171040.1	3960	3796.25	1195	25.1263
Smp_089630.1	1707	1543.25	682	35.2747
Smp_089640.2	1176	1012.25	2407.04	189.807
Smp_089640.3	2750	2586.25	107.964	3.33214
Smp_089650.1	2451	2287.25	256	8.93391
Smp_089670.1	6354	6190.25	3479	44.8602
Smp_171060.1	819	655.245	0	0
Smp_171070.1	6709	6545.25	694.596	8.47073
Smp_089700.1	3334	3170.25	2562	64.5061
Smp_171080.1	720	556.245	433	62.1349
Smp_171090.1	2014	1850.25	249	10.742
Smp_196980.1	225	78.5418	15	15.2442
Smp_196580.1	51	24.25	0	0
Smp_022640.1	887	723.245	4095	451.942
Smp_092150.1	791	627.245	32.9033	4.18713
Smp_151640.1	691	527.245	104	15.7447
Smp_055390.1	987	823.245	254	24.6274
Smp_055400.1	3481	3317.25	735.942	17.7084
Smp_151650.1	650	486.245	620	101.777
Smp_055420.2	567	403.295	113.736	22.5107
Smp_055420.1	974	810.245	245.264	24.162
Smp_151660.1	2052	1888.25	58	2.45179
Smp_151670.1	1470	1306.25	274	16.7433
Smp_055440.1	2328	2164.25	94	3.46685
Smp_055450.1	683	519.245	344	52.8811
Smp_200290.1	204	63.3549	20	25.1979
Smp_151680.1	564	400.295	19	3.78868
Smp_118240.1	936	772.245	41	4.23782
Smp_167830.1	303	144.905	92	50.678
Smp_152160.1	345	184.28	10	4.33148
Smp_209020.1	123	15.3872	1	5.18747
Smp_152150.1	9707	9543.25	3737.07	31.2572
Smp_200940.1	438	274.881	0	0
Smp_196600.1	3423	3259.25	350	8.57167
Smp_152180.1	1518	1354.25	1101	64.894
Smp_152190.1	681	517.245	4	0.617274
Smp_152200.1	1068	904.245	7	0.617911
Smp_152210.1	279	123.498	7	4.52429
Smp_200970.1	171	41.5588	9.00674	17.2989
Smp_152220.1	1221	1057.25	93	7.02136
Smp_056200.1	1446	1282.25	1060	65.9856
Smp_152230.1	4512	4348.25	437	8.02198
Smp_152260.1	6051	5887.25	188	2.54894
Smp_152270.1	962	798.245	631	63.0968
Smp_056240.1	1939	1775.25	739	33.2277
Smp_152280.1	1041	877.245	14	1.27386
Smp_056260.1	1017	853.245	100	9.35493
Smp_152290.1	1041	877.245	92	8.37107
Smp_056280.1	1947	1783.25	74	3.31234
Smp_056290.1	5859	5695.25	62	0.868947
Smp_152300.1	2525	2361.25	483	16.3275
Smp_152310.1	1134	970.245	6	0.49361
Smp_200300.1	354	192.861	194	80.2919
Smp_176450.1	4560	4396.25	19	0.344974
Smp_176440.1	6912	6748.25	862.691	10.2042
Smp_176430.2	3774	3610.25	198.034	4.37842
Smp_176430.1	4233	4069.25	73.9658	1.45088
Smp_176460.1	981	817.245	242	23.6362
Smp_189980.1	783	619.245	0	0
Smp_098840.1	1944	1780.25	862.548	38.6739
Smp_098850.1	813	649.245	78	9.58959
Smp_163240.1	3279	3115.25	164.735	4.22093
Smp_163230.1	1635	1471.25	366	19.8568
Smp_163220.1	1119	955.245	204	17.0463
Smp_163210.1	2427	2263.25	1404	49.5165
Smp_200310.1	285	128.707	22.9775	14.2499
Smp_068990.1	7963	7799.25	878.316	8.98902
Smp_159540.1	12903	12739.2	456	2.85717
Smp_116070.1	267	112.963	0	0
Smp_159550.1	2046	1882.25	196	8.31178
Smp_159560.1	2208	2044.25	94	3.67036
Smp_159570.1	3744	3580.25	239	5.32843
Smp_159590.1	2091	1927.25	342	14.1646
Smp_159600.1	4779	4615.25	707	12.2275
Smp_129610.1	1155	991.245	267	21.5003
Smp_129600.1	444	280.849	25	7.10529
Smp_129590.1	4881	4717.25	561	9.49268
Smp_129580.1	3912	3748.25	1045.68	22.2681
Smp_201090.1	1422	1258.25	50	3.1719
Smp_129550.1	2800	2636.25	466.324	14.1194
Smp_129560.1	2528	2364.25	998	33.694
Smp_013690.1	3060	2896.25	979	26.9812
Smp_209010.1	38357	38193.2	1809.57	3.78184
Smp_129570.1	1974	1810.25	555.355	24.4877
Smp_124360.1	615	451.245	857	151.594
Smp_124350.1	3279	3115.25	118	3.02346
Smp_004090.1	834	670.245	419	49.8993
Smp_004080.1	1397	1233.25	819	53.0089
Smp_004070.1	776	612.245	29	3.78083
Smp_004060.1	1587	1423.25	166	9.30985
Smp_124340.1	2328	2164.25	19	0.700747
Smp_004040.1	1251	1087.25	237	17.3994
Smp_004020.1	4161	3997.25	1278	25.5202
Smp_124320.1	1230	1066.25	369	27.6238
Smp_004000.1	3090	2926.25	280.006	7.63783
Smp_003990.1	1172	1008.25	5939	470.177
