target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	233.671	365	140.729
Smp_197050.1	186	47.8563	53	99.7774
Smp_160500.1	5316	5146.46	137	2.39832
Smp_160490.1	3894	3724.46	207	5.00729
Smp_070540.1	5995	5825.46	608.168	9.40565
Smp_160480.1	791	621.464	8.294	1.20239
Smp_160480.2	659	489.493	7.706	1.41833
Smp_160470.1	3111	2941.46	319	9.77064
Smp_160460.1	7563	7393.46	1097.28	13.371
Smp_160450.1	3576	3406.46	833	22.0311
Smp_191780.1	297	134.307	23	15.4286
Smp_160440.1	2374	2204.46	395	16.1432
Smp_160430.1	369	201.625	153	68.3665
Smp_160420.1	417	248.395	145	52.5922
Smp_160410.1	7034	6864.46	60.3986	0.792713
Smp_160410.2	875	705.464	491.181	62.7282
Smp_092930.1	1176	1006.46	333	29.8086
Smp_092950.1	5574	5404.46	561	9.35204
Smp_173020.1	2529	2359.46	200.043	7.63844
Smp_200370.1	204	59.79	12.9619	19.5315
Smp_200460.1	246	90.691	4	3.97367
Smp_158440.1	660	490.493	212	38.9402
Smp_158430.1	813	643.464	138	19.322
Smp_067090.1	434	265.087	362	123.031
Smp_158420.1	960	790.464	14.0027	1.59597
Smp_067060.1	1205	1035.46	23928.7	2082
Smp_067050.1	54	2	0	0
Smp_158410.1	597	427.493	0	0
Smp_184360.1	369	201.625	0	0
Smp_193860.1	655	485.493	0	0
Smp_179960.1	357	190.078	0	0
Smp_103610.1	1203	1033.46	23379.1	2038.11
Smp_179950.1	912	742.464	45.1675	5.48084
Smp_168300.1	288	126.257	0	0
Smp_168290.1	336	170.246	0	0
Smp_085010.1	1122	952.464	876	82.8613
Smp_168280.1	327	161.743	0	0
Smp_200280.1	246	90.691	425	422.202
Smp_180980.1	474	304.822	1	0.295563
Smp_196410.1	1479	1309.46	1	0.0688022
Smp_105320.1	401	232.718	973	376.685
Smp_105330.1	975	805.464	858	95.9704
Smp_105340.1	3678	3508.46	230	5.90618
Smp_105360.1	3393	3223.46	109	3.04649
Smp_105370.1	1002	832.464	91	9.84854
Smp_181040.1	2006	1836.46	79	3.87562
Smp_181050.1	6838	6668.46	2433.17	32.8732
Smp_178010.1	488	318.79	1840.33	520.098
Smp_016050.1	3316	3146.46	2727	78.0833
Smp_130910.1	1113	943.464	561	53.5715
Smp_172850.1	647	477.493	1249	235.663
Smp_130920.1	2289	2119.46	657	27.9277
Smp_130930.1	489	319.79	428	120.58
Smp_016090.1	6991	6821.46	1471	19.4281
Smp_130940.1	13950	13780.5	849.754	5.55553
Smp_209000.1	222131	221961	5038.36	2.04507
Smp_016200.1	1177	1007.46	172.179	15.3974
Smp_016200.4	5574	5404.46	78.2436	1.30434
Smp_016200.3	1492	1322.46	873.184	59.4864
Smp_016180.1	5049	4879.46	14.978	0.276553
Smp_130980.1	1194	1024.46	486.784	42.8091
Smp_130970.1	1527	1357.46	6.71579	0.445723
Smp_130960.1	2352	2182.46	58.8281	2.42848
Smp_016130.1	5892	5722.46	349.204	5.49784
Smp_130950.1	1715	1545.46	3014.94	175.758
Smp_171010.1	2046	1876.46	148	7.10587
Smp_089570.1	427	258.205	2561	893.595
Smp_171020.1	3829	3659.46	4426	108.966
Smp_089590.1	1677	1507.46	1296	77.4558
