target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	240.6	342	141.476
Smp_197050.1	186	51.2939	26	50.4499
Smp_160500.1	5316	5153.47	151	2.91628
Smp_160490.1	3894	3731.47	173	4.61443
Smp_070540.1	5995	5832.47	191.784	3.27274
Smp_160480.1	791	628.473	1.50915	0.239
Smp_160480.2	659	496.473	3.49085	0.699823
Smp_160470.1	3111	2948.47	168	5.67107
Smp_160460.1	7563	7400.47	392.183	5.27451
Smp_160450.1	3576	3413.47	731	21.3144
Smp_191780.1	297	140.525	21	14.8737
Smp_160440.1	2374	2211.47	447	20.1177
Smp_160430.1	369	208.301	182	86.9626
Smp_160420.1	417	255.378	181	70.5421
Smp_160410.1	7034	6871.47	83.905	1.21532
Smp_160410.2	875	712.473	466.508	65.1693
Smp_092930.1	1176	1013.47	428	42.0324
Smp_092950.1	5574	5411.47	637	11.7159
Smp_173020.1	2529	2366.47	153.035	6.43638
Smp_200370.1	204	63.4995	4.14848	6.50235
Smp_200460.1	246	95.7435	2	2.07909
Smp_158440.1	660	497.473	285	57.0201
Smp_158430.1	813	650.473	238	36.4167
Smp_067090.1	434	272.049	409	149.634
Smp_158420.1	960	797.473	3.00062	0.374496
Smp_067060.1	1205	1042.47	44938.3	4290.46
Smp_067050.1	54	1	0	0
Smp_158410.1	597	434.473	0	0
Smp_184360.1	369	208.301	0	0
Smp_193860.1	655	492.473	0	0
Smp_179960.1	357	196.647	0	0
Smp_103610.1	1203	1040.47	40375.1	3862.21
Smp_179950.1	912	749.473	48.6562	6.46152
Smp_168300.1	288	132.42	0	0
Smp_168290.1	336	176.584	0	0
Smp_085010.1	1122	959.473	2918	302.695
Smp_168280.1	327	168.22	0	0
Smp_200280.1	246	95.7435	604	627.885
Smp_180980.1	474	311.773	4	1.27695
Smp_196410.1	1479	1316.47	7	0.529223
Smp_105320.1	401	239.6	1388	576.573
Smp_105330.1	975	812.473	842	103.147
Smp_105340.1	3678	3515.47	167	4.72809
Smp_105360.1	3393	3230.47	88	2.71125
Smp_105370.1	1002	839.473	38	4.50536
Smp_181040.1	2006	1843.47	105	5.66898
Smp_181050.1	6838	6675.47	2376.46	35.4324
Smp_178010.1	488	325.742	1596.66	487.857
Smp_016050.1	3316	3153.47	2506	79.0942
Smp_130910.1	1113	950.473	785	82.202
Smp_172850.1	647	484.473	1193	245.089
Smp_130920.1	2289	2126.47	203	9.50143
Smp_130930.1	489	326.725	218	66.4089
Smp_016090.1	6991	6828.47	1347	19.6334
Smp_130940.1	13950	13787.5	818.656	5.90975
Smp_209000.1	222131	221968	5315.8	2.38358
Smp_016200.1	1177	1014.47	119.556	11.7296
Smp_016200.4	5574	5411.47	135.899	2.4995
Smp_016200.3	1492	1329.47	1334.97	99.9414
Smp_016180.1	5049	4886.47	7.74489	0.157751
Smp_130980.1	1194	1031.47	446.739	43.1071
Smp_130970.1	1527	1364.47	1.09748	0.0800545
Smp_130960.1	2352	2189.47	28.2745	1.28531
Smp_016130.1	5892	5729.47	424.17	7.36848
Smp_130950.1	1715	1552.47	2444.96	156.747
Smp_171010.1	2046	1883.47	107	5.65428
Smp_089570.1	427	265.156	2265	850.196
Smp_171020.1	3829	3666.47	2588	70.2536
Smp_089590.1	1677	1514.47	1877	123.355
Smp_171030.1	1065	902.473	113	12.4623
Smp_171040.1	3960	3797.47	1213	31.7921
Smp_089630.1	1707	1544.47	876	56.4516
Smp_089640.2	1176	1013.47	3263.32	320.479
Smp_089640.3	2750	2587.47	291.683	11.2199
Smp_089650.1	2451	2288.47	291	12.6561
Smp_089670.1	6354	6191.47	4847	77.9169
Smp_171060.1	819	656.473	0	0
Smp_171070.1	6709	6546.47	924.6	14.0572
Smp_089700.1	3334	3171.47	3655	114.704
Smp_171080.1	720	557.473	266	47.4909
Smp_171090.1	2014	1851.47	533	28.6525
Smp_196980.1	225	78.964	1	1.26044
Smp_196580.1	51	52	0	0
Smp_022640.1	887	724.473	3811	523.564
Smp_092150.1	791	628.473	54.5967	8.64634
Smp_151640.1	691	528.473	113.438	21.3642
Smp_055390.1	987	824.473	294	35.4914
Smp_055400.1	3481	3318.47	819.615	24.5824
Smp_151650.1	650	487.473	695	141.901
Smp_055420.2	567	404.493	136.589	33.6091
Smp_055420.1	974	811.473	256.411	31.4496
Smp_151660.1	2052	1889.47	11	0.579435
Smp_151670.1	1470	1307.47	280	21.3146
Smp_055440.1	2328	2165.47	177	8.13529
Smp_055450.1	683	520.473	390	74.5794
Smp_200290.1	204	63.4995	38	59.5615
Smp_151680.1	564	401.514	33	8.18025
Smp_118240.1	936	773.473	148	19.0445
Smp_167830.1	303	145.981	0	0
Smp_152160.1	345	185.165	0	0
Smp_209020.1	123	15.2972	0	0
Smp_152150.1	9707	9544.47	45.1504	0.470828
Smp_200940.1	438	276.021	14	5.04822
Smp_196600.1	3423	3260.47	224	6.83786
Smp_152180.1	1518	1355.47	1255	92.1522
Smp_152190.1	681	518.473	1	0.191967
Smp_152200.1	1068	905.473	4	0.43968
Smp_152210.1	279	124.261	18	14.4176
Smp_200970.1	171	41.4951	16.9156	40.5734
Smp_152220.1	1221	1058.47	61	5.73591
Smp_056200.1	1446	1283.47	1621	125.704
Smp_152230.1	4512	4349.47	365	8.35235
Smp_152260.1	6051	5888.47	78	1.31839
Smp_152270.1	962	799.473	967	120.386
Smp_056240.1	1939	1776.47	929	52.0487
Smp_152280.1	1041	878.473	21	2.37927
Smp_056260.1	1017	854.473	80	9.31846
Smp_152290.1	1041	878.473	102	11.5564
Smp_056280.1	1947	1784.47	40	2.23102
Smp_056290.1	5859	5696.47	6	0.104833
Smp_152300.1	2525	2362.47	190	8.0046
Smp_152310.1	1134	971.473	0	0
Smp_200300.1	354	193.745	192	98.6333
Smp_176450.1	4560	4397.47	15	0.339501
Smp_176440.1	6912	6749.47	946	13.95
Smp_176430.2	3774	3611.47	301.836	8.31838
