target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	228.361	271	81.4581
Smp_197050.1	186	43.8913	19	29.714
Smp_160500.1	5316	5141.38	253	3.37774
Smp_160490.1	3894	3719.38	238	4.3923
Smp_070540.1	5995	5820.38	1368.36	16.1375
Smp_160480.1	791	616.382	13.7381	1.5299
Smp_160480.2	659	484.409	20.2619	2.87113
Smp_160470.1	3111	2936.38	402	9.39722
Smp_160460.1	7563	7388.38	451.181	4.19168
Smp_160450.1	3576	3401.38	654	13.198
Smp_191780.1	297	128.955	7	3.72603
Smp_160440.1	2374	2199.38	547	17.0715
Smp_160430.1	369	196.129	288	100.795
Smp_160420.1	417	243.101	313	88.3778
Smp_160410.1	7034	6859.38	62.4135	0.624568
Smp_160410.2	875	700.382	265.412	26.0119
Smp_092930.1	1176	1001.38	683	46.8173
Smp_092950.1	5574	5399.38	992	12.6111
Smp_173020.1	2529	2354.38	147.182	4.29104
Smp_200370.1	204	54.9013	9.73954	12.177
Smp_200460.1	246	85.5632	8	6.41784
Smp_158440.1	660	485.409	137	19.3731
Smp_158430.1	813	638.382	92	9.8922
Smp_067090.1	434	259.887	359	94.819
Smp_158420.1	960	785.382	1.00026	0.0874215
Smp_067060.1	1205	1030.38	20102.1	1339.15
Smp_067050.1	54	14.2	0	0
Smp_158410.1	597	422.409	0	0
Smp_184360.1	369	196.129	0	0
Smp_193860.1	655	480.409	0	0
Smp_179960.1	357	184.569	0	0
Smp_103610.1	1203	1028.38	47796.8	3190.29
Smp_179950.1	912	737.382	56.1418	5.22612
Smp_168300.1	288	121.007	1	0.56725
Smp_168290.1	336	164.604	0	0
Smp_085010.1	1122	947.382	3053	221.201
Smp_168280.1	327	156.273	0	0
Smp_200280.1	246	85.5632	927	743.668
Smp_180980.1	474	299.641	4	0.916315
Smp_196410.1	1479	1304.38	1	0.0526237
Smp_105320.1	401	227.383	2247	678.313
Smp_105330.1	975	800.382	749	64.2348
Smp_105340.1	3678	3503.38	25	0.489822
Smp_105360.1	3393	3218.38	34	0.725149
Smp_105370.1	1002	827.382	100	8.29621
Smp_181040.1	2006	1831.38	34	1.27434
Smp_181050.1	6838	6663.38	3647	37.5688
Smp_178010.1	488	313.579	550.253	120.448
Smp_016050.1	3316	3141.38	2385	52.1139
Smp_130910.1	1113	938.382	731	53.4716
Smp_172850.1	647	472.409	1109	161.138
Smp_130920.1	2289	2114.38	188	6.10324
Smp_130930.1	489	314.579	91	19.8562
Smp_016090.1	6991	6816.38	1215	12.2351
Smp_130940.1	13950	13775.4	1103.13	5.49681
Smp_209000.1	222131	221956	5648.01	1.74668
Smp_016200.1	1177	1002.38	182.143	12.4728
Smp_016200.4	5574	5399.38	97.2205	1.23595
Smp_016200.3	1492	1317.38	607.322	31.6441
Smp_016180.1	5049	4874.38	51.4572	0.724623
Smp_130980.1	1194	1019.38	641.021	43.164
Smp_130970.1	1527	1352.38	604.882	30.7013
Smp_130960.1	2352	2177.38	0	0
Smp_016130.1	5892	5717.38	389.879	4.68078
Smp_130950.1	1715	1540.38	674.945	30.0764
Smp_171010.1	2046	1871.38	52	1.90733
Smp_089570.1	427	253.003	2691	730.087
Smp_171020.1	3829	3654.38	835	15.6841
Smp_089590.1	1677	1502.38	1532	69.9946
Smp_171030.1	1065	890.382	169	13.0286
Smp_171040.1	3960	3785.38	1112	20.1642
Smp_089630.1	1707	1532.38	857	38.3884
Smp_089640.2	1176	1001.38	2537.45	173.934
Smp_089640.3	2750	2575.38	85.5452	2.28003
Smp_089650.1	2451	2276.38	316	9.52857
Smp_089670.1	6354	6179.38	2149	23.8714
Smp_171060.1	819	644.382	0	0
Smp_171070.1	6709	6534.38	863.295	9.06861
Smp_089700.1	3334	3159.38	1679	36.4783
Smp_171080.1	720	545.382	662	83.3188
Smp_171090.1	2014	1839.38	487	18.1737
Smp_196980.1	225	69.7256	3	2.95335
Smp_196580.1	51	14.25	0	0
Smp_022640.1	887	712.382	6293	606.36
Smp_092150.1	791	616.382	43.3172	4.82387
Smp_151640.1	691	516.409	127.339	16.926
Smp_055390.1	987	812.382	318	26.8691
Smp_055400.1	3481	3306.38	925.274	19.2089
Smp_151650.1	650	475.409	648	93.5607
Smp_055420.2	567	392.43	95.003	16.6173
Smp_055420.1	974	799.382	214.997	18.4614
Smp_151660.1	2052	1877.38	78	2.85186
Smp_151670.1	1470	1295.38	233	12.3465
Smp_055440.1	2328	2153.38	66	2.10382
Smp_055450.1	683	508.409	338	45.6341
Smp_200290.1	204	54.9013	35	43.7594
Smp_151680.1	564	389.43	6	1.05757
