target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	242.751	232	70.2014
Smp_197050.1	186	52.3025	54	75.8384
Smp_160500.1	5316	5155.84	295	4.20282
Smp_160490.1	3894	3733.84	290	5.70506
Smp_070540.1	5995	5834.84	1985.14	24.9909
Smp_160480.1	791	630.838	11.9968	1.3969
Smp_160480.2	659	498.838	19.0032	2.79824
Smp_160470.1	3111	2950.84	317	7.891
Smp_160460.1	7563	7402.84	1079.37	10.7101
Smp_160450.1	3576	3415.84	677	14.5583
Smp_191780.1	297	142.783	13	6.68781
Smp_160440.1	2374	2213.84	372	12.3428
Smp_160430.1	369	210.597	190	66.2702
Smp_160420.1	417	257.551	193	55.0443
Smp_160410.1	7034	6873.84	42.0913	0.449791
Smp_160410.2	875	714.838	548.554	56.3676
Smp_092930.1	1176	1015.84	486	35.1423
Smp_092950.1	5574	5413.84	707	9.59251
Smp_173020.1	2529	2368.84	256.033	7.93922
Smp_200370.1	204	64.7801	9.95619	11.2894
Smp_200460.1	246	97.7724	13	9.76663
Smp_158440.1	660	499.838	230	33.8
Smp_158430.1	813	652.838	140	15.7522
Smp_067090.1	434	274.324	361	96.6632
Smp_158420.1	960	799.838	50.0172	4.59341
Smp_067060.1	1205	1044.84	73513.4	5168.16
Smp_067050.1	54	7.83333	0	0
Smp_158410.1	597	436.863	2.00007	0.336292
Smp_184360.1	369	210.597	0	0
Smp_193860.1	655	494.838	0	0
Smp_179960.1	357	199.023	0	0
Smp_103610.1	1203	1042.84	121225	8538.74
Smp_179950.1	912	751.838	386.465	37.7576
Smp_168300.1	288	134.639	0	0
Smp_168290.1	336	178.821	0	0
Smp_085010.1	1122	961.838	5121	391.085
Smp_168280.1	327	170.327	0	0
Smp_200280.1	246	97.7724	690	518.383
Smp_180980.1	474	314.016	10	2.3392
Smp_196410.1	1479	1318.84	0	0
Smp_105320.1	401	241.802	1862	565.636
Smp_105330.1	975	814.838	635	57.2427
Smp_105340.1	3678	3517.84	29	0.605536
Smp_105360.1	3393	3232.84	84	1.90859
Smp_105370.1	1002	841.838	204	17.8
Smp_181040.1	2006	1845.84	51	2.02953
Smp_181050.1	6838	6677.84	4602	50.6208
Smp_178010.1	488	327.981	2893.65	648.059
Smp_016050.1	3316	3155.84	2088	48.5997
Smp_130910.1	1113	952.838	484	37.3116
Smp_172850.1	647	486.838	1264	190.713
Smp_130920.1	2289	2128.84	416	14.3539
Smp_130930.1	489	328.981	337	75.2449
