target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	230.517	253	85.6694
Smp_197050.1	186	46.7145	97	162.079
Smp_160500.1	5316	5142.57	191	2.89908
Smp_160490.1	3894	3720.57	159	3.33576
Smp_070540.1	5995	5821.57	1355.93	18.1805
Smp_160480.1	791	617.602	42.1562	5.32795
Smp_160480.2	659	485.651	26.8438	4.31447
Smp_160470.1	3111	2937.57	489	12.9936
Smp_160460.1	7563	7389.57	1433.37	15.1407
Smp_160450.1	3576	3402.57	756	17.3429
Smp_191780.1	297	131.807	14	8.29084
Smp_160440.1	2374	2200.57	574	20.3603
Smp_160430.1	369	198.74	152	59.6987
Smp_160420.1	417	245.209	215	68.44
Smp_160410.1	7034	6860.57	66.3677	0.755099
Smp_160410.2	875	701.569	514.902	57.2877
Smp_092930.1	1176	1002.57	509	39.6288
Smp_092950.1	5574	5400.57	1428	20.6394
Smp_173020.1	2529	2355.57	238.071	7.88893
Smp_200370.1	204	58.2358	6.62944	8.88575
Smp_200460.1	246	88.8437	6	5.27148
Smp_158440.1	660	486.651	213	34.164
Smp_158430.1	813	639.602	252	30.7538
Smp_067090.1	434	261.83	430	128.191
Smp_158420.1	960	786.569	15.002	1.48874
Smp_067060.1	1205	1031.57	19225.4	1454.74
Smp_067050.1	54	10	0	0
Smp_158410.1	597	423.72	0	0
Smp_184360.1	369	198.74	0	0
Smp_193860.1	655	481.676	0	0
Smp_179960.1	357	187.179	0	0
Smp_103610.1	1203	1029.57	61660.1	4674.73
Smp_179950.1	912	738.569	114.48	12.0989
Smp_168300.1	288	123.856	0	0
Smp_168290.1	336	167.307	0	0
Smp_085010.1	1122	948.569	395	32.5039
Smp_168280.1	327	158.939	0	0
Smp_200280.1	246	88.8437	764	671.235
Smp_180980.1	474	301.314	14	3.62674
Smp_196410.1	1479	1305.57	0	0
Smp_105320.1	401	229.551	1403	477.074
Smp_105330.1	975	801.569	945	92.0234
Smp_105340.1	3678	3504.57	96	2.13818
Smp_105360.1	3393	3219.57	101	2.44868
Smp_105370.1	1002	828.569	132	12.4352
Smp_181040.1	2006	1832.57	88	3.74826
Smp_181050.1	6838	6664.57	4343	50.8657
Smp_178010.1	488	315.222	1499.99	371.433
Smp_016050.1	3316	3142.57	3385	84.0778
Smp_130910.1	1113	939.569	741	61.5598
Smp_172850.1	647	473.676	1317	217.026
Smp_130920.1	2289	2115.57	1135	41.8771
Smp_130930.1	489	316.222	461	113.793
Smp_016090.1	6991	6817.57	2004	22.9443
Smp_130940.1	13950	13776.6	1180.07	6.6861
Smp_209000.1	222131	221958	5503.37	1.93538
Smp_016200.1	1177	1003.57	156.971	12.209
Smp_016200.4	5574	5400.57	125.1	1.80811
Smp_016200.3	1492	1318.57	786.659	46.5684
Smp_016180.1	5049	4875.57	150.353	2.40711
Smp_130980.1	1194	1020.57	679.725	51.9874
Smp_130970.1	1527	1353.57	26.2687	1.51483
Smp_130960.1	2352	2178.57	22.3951	0.802396
Smp_016130.1	5892	5718.57	332.622	4.54016
Smp_130950.1	1715	1541.57	1458.05	73.8275
Smp_171010.1	2046	1872.57	70	2.91788
Smp_089570.1	427	254.92	2355	721.098
Smp_171020.1	3829	3655.57	1783	38.0718
Smp_089590.1	1677	1503.57	1299	67.4362
Smp_171030.1	1065	891.569	234	20.4865
Smp_171040.1	3960	3786.57	1609	33.1679
Smp_089630.1	1707	1533.57	863	43.9253
Smp_089640.2	1176	1002.57	2281.19	177.605
Smp_089640.3	2750	2576.57	100.81	3.054
Smp_089650.1	2451	2277.57	287	9.83598
Smp_089670.1	6354	6180.57	15716	198.482
Smp_171060.1	819	645.569	6	0.725464
Smp_171070.1	6709	6535.57	1149.36	13.7271
Smp_089700.1	3334	3160.57	3054	75.4243
Smp_171080.1	720	546.602	456	65.1181
Smp_171090.1	2014	1840.57	325	13.7828
Smp_196980.1	225	72.7994	26	27.8774
Smp_196580.1	51	16	0	0
Smp_022640.1	887	713.569	3538	387.016
Smp_092150.1	791	617.602	159.247	20.1266
Smp_151640.1	691	517.602	110.358	16.6423
Smp_055390.1	987	813.569	254	24.3695
Smp_055400.1	3481	3307.57	941.507	22.2189
Smp_151650.1	650	476.676	695	113.807
Smp_055420.2	567	393.741	173.399	34.3751
Smp_055420.1	974	800.569	281.601	27.4563
Smp_151660.1	2052	1878.57	7	0.290856
Smp_151670.1	1470	1296.57	401	24.1411
Smp_055440.1	2328	2154.57	83	3.00694
Smp_055450.1	683	509.627	426	65.2476
Smp_200290.1	204	58.2358	81	108.568
Smp_151680.1	564	390.741	16	3.19623
Smp_118240.1	936	762.569	41	4.19674
Smp_167830.1	303	137.254	312	177.435
Smp_152160.1	345	175.775	7	3.10848
Smp_209020.1	123	13.8244	0	0
Smp_152150.1	9707	9533.57	7212.2	59.05
Smp_200940.1	438	265.764	1	0.293705
Smp_196600.1	3423	3249.57	576	13.8358
Smp_152180.1	1518	1344.57	2168	125.859
Smp_152190.1	681	507.627	2	0.307534
Smp_152200.1	1068	894.569	9	0.785301
Smp_152210.1	279	116.128	9	6.04939
Smp_200970.1	171	38.0493	11.3451	23.274
Smp_152220.1	1221	1047.57	110	8.19629
Smp_056200.1	1446	1272.57	957	58.7
Smp_152230.1	4512	4338.57	614	11.0466
Smp_152260.1	6051	5877.57	175	2.32406
Smp_152270.1	962	788.569	584	57.807
Smp_056240.1	1939	1765.57	891	39.3913
Smp_152280.1	1041	867.569	14	1.2596
Smp_056260.1	1017	843.569	77	7.12488
Smp_152290.1	1041	867.569	95	8.54726
Smp_056280.1	1947	1773.57	65	2.8607
Smp_056290.1	5859	5685.57	25	0.343221
Smp_152300.1	2525	2351.57	719	23.8659
Smp_152310.1	1134	960.569	8	0.650083
Smp_200300.1	354	184.301	296	125.363
Smp_176450.1	4560	4386.57	24	0.427065
Smp_176440.1	6912	6738.57	1076.8	12.4731
Smp_176430.2	3774	3600.57	247.861	5.37335
Smp_176430.1	4233	4059.57	110.139	2.11772
Smp_176460.1	981	807.569	291	28.1268
Smp_189980.1	783	609.602	0	0
Smp_098840.1	1944	1770.57	1071.47	47.2361
Smp_098850.1	813	639.602	94	11.4717
Smp_163240.1	3279	3105.57	266.158	6.68969
Smp_163230.1	1635	1461.57	427	22.8043
Smp_163220.1	1119	945.569	589	48.6216
Smp_163210.1	2427	2253.57	1854	64.2165
Smp_200310.1	285	121.25	37.9266	24.4158
Smp_068990.1	7963	7789.57	1105.39	11.0767
Smp_159540.1	12903	12729.6	615	3.77111
Smp_116070.1	267	105.995	1	0.736417
Smp_159550.1	2046	1872.57	218	9.08712
Smp_159560.1	2208	2034.57	49	1.87988
Smp_159570.1	3744	3570.57	484	10.5807
Smp_159590.1	2091	1917.57	823	33.5009
Smp_159600.1	4779	4605.57	273	4.62687
Smp_129610.1	1155	981.569	124	9.86071
Smp_129600.1	444	271.656	15	4.31003
Smp_129590.1	4881	4707.57	636	10.5455
Smp_129580.1	3912	3738.57	1212.88	25.3233
Smp_201090.1	1422	1248.57	32	2.00053
Smp_129550.1	2800	2626.57	576.193	17.1233
Smp_129560.1	2528	2354.57	1503	49.8259
Smp_013690.1	3060	2886.57	1425	38.5337
Smp_209010.1	38357	38183.6	2319.52	4.74165
Smp_129570.1	1974	1800.57	851.13	36.8972
Smp_124360.1	615	441.698	904	159.753
Smp_124350.1	3279	3105.57	98	2.46316
Smp_004090.1	834	660.569	561	66.2906
Smp_004080.1	1397	1223.57	1391	88.7373
Smp_004070.1	776	602.602	58	7.51286
Smp_004060.1	1587	1413.57	181	9.99468
Smp_124340.1	2328	2154.57	22	0.797021
Smp_004040.1	1251	1077.57	248	17.9645
Smp_004020.1	4161	3987.57	1606	31.4373
Smp_124320.1	1230	1056.57	448	33.0969
Smp_004000.1	3090	2916.57	334.717	8.95803
Smp_003990.1	1172	998.569	8081	631.676
Smp_003980.1	2372	2198.57	1157	41.0772
Smp_114240.1	415	243.221	75.4062	24.1999
Smp_003970.1	809	635.602	1766	216.877
Smp_101670.1	3278	3104.57	329	8.27184
Smp_124310.1	712	538.602	259	37.5353
Smp_124300.1	2014	1840.57	532	22.5615
Smp_124290.1	384	213.127	188	68.8535
Smp_003940.1	1118	944.569	266	21.9814
Smp_003930.1	1720	1546.57	106	5.34988
Smp_124280.1	2021	1847.57	34	1.43643
Smp_003900.1	3570	3396.57	152	3.4931
Smp_124250.1	1125	951.569	327	26.8235
Smp_124240.1	1748	1574.57	1145	56.7612
Smp_003860.1	809	635.602	488	59.9297
Smp_124230.1	1017	843.569	140	12.9543
Smp_124220.1	6395	6221.57	1527	19.1578
Smp_124210.1	2163	1989.57	37	1.45161
Smp_193890.1	162	32.9177	4	9.48502
Smp_193900.1	243	86.4753	0	0
Smp_124200.1	4437	4263.57	60	1.09846
Smp_003790.1	831	657.569	6	0.712225
Smp_124190.1	2616	2442.57	74	2.36479
Smp_003770.1	582	408.741	8158	1557.91
Smp_003760.1	576	402.741	51	9.88443
Smp_124180.1	6729	6555.57	11	0.130975
Smp_124170.1	3903	3729.57	131	2.7417
Smp_124160.1	1006	832.569	197.695	18.5346
Smp_124160.2	936	762.569	255.305	26.1329
Smp_003700.1	1180	1006.57	1029	79.7957
Smp_124130.1	1434	1260.57	73	4.52026
Smp_003670.1	3459	3285.57	518	12.3063
Smp_003660.1	2381	2207.57	4822	170.498
Smp_124120.1	1713	1539.57	175	8.87251
Smp_124110.1	2250	2076.57	555	20.8619
Smp_003630.1	1610	1436.57	1585	86.1212
Smp_003620.1	2144	1970.57	1021	40.4428
Smp_003610.1	2325	2151.57	557.749	20.2344
Smp_003610.2	471	298.344	758.464	198.438
Smp_003600.1	471	298.344	10	2.61632
Smp_188200.1	480	307.253	8	2.03236
Smp_124100.1	2775	2601.57	603	18.0921
Smp_124090.1	2865	2691.57	8	0.232002
Smp_124080.1	279	116.128	9	6.04939
Smp_124070.1	698	524.602	542	80.645
Smp_124060.1	711	537.602	257	37.3147
Smp_124050.1	2408	2234.57	1075.28	37.561
Smp_124050.2	1167	993.569	0	0
Smp_124050.4	1305	1131.57	6264.72	432.143
Smp_124040.1	1041	867.569	49	4.40859
Smp_200320.1	219	68.305	6	6.85656
Smp_124030.1	1407	1233.57	318	20.122
Smp_124020.1	1286	1112.57	651	45.6732
Smp_124010.1	375	204.537	1	0.381624
Smp_124000.1	415	243.221	3811	1223.05
Smp_003440.1	1797	1623.57	267	12.8365
Smp_200330.1	750	576.602	689	93.2719
Smp_123990.1	1203	1029.57	998	75.6628
Smp_123980.1	219	68.305	0	0
Smp_003410.1	663	489.651	4180	666.341
Smp_123970.1	273	111.107	2	1.40507
Smp_123960.1	13015	12841.6	1229	7.47036
Smp_188600.1	213	64.06	5	6.09243
Smp_123950.1	2732	2558.57	925.519	28.2355
Smp_123940.1	3587	3413.57	917.481	20.9795
Smp_003340.1	3440	3266.57	1334	31.8766
Smp_003330.1	586	412.741	202	38.2016
Smp_123930.1	1284	1110.57	1894	133.12
Smp_123920.1	573	399.741	0	0
Smp_003300.1	1167	993.569	0	0
Smp_123910.1	741	567.602	43	5.91333
Smp_123900.1	195	52.3264	0	0
Smp_003280.1	3027	2853.57	27	0.738555
Smp_123880.1	586	412.741	1948	368.399
Smp_003250.1	408	236.329	327	108.004
Smp_123870.1	498	325.126	572	137.326
Smp_003230.1	3038	2864.57	1213.51	33.0668
Smp_123860.1	2709	2535.57	303	9.3277
Smp_123850.1	264	103.533	0	0
Smp_123840.1	2580	2406.57	125	4.05433
Smp_003190.1	3648	3474.57	55	1.23558
Smp_123830.1	4818	4644.57	3336	56.0645
Smp_123820.1	3120	2946.57	31	0.821207
Smp_123810.1	1542	1368.57	42	2.39547
Smp_003140.1	1766	1592.57	1423	69.7452
Smp_003130.1	741	567.602	413	56.7955
Smp_123790.1	948	774.569	38	3.8294
Smp_123780.1	1944	1770.57	101	4.45262
Smp_003110.1	1246	1072.57	2138.35	155.618
Smp_003110.2	5152	4978.57	619.455	9.71209
Smp_197080.1	2541	2367.57	3667	120.897
Smp_197070.1	1734	1560.57	60	3.00107
Smp_123750.1	3142	2968.57	1744.46	45.8693
Smp_200440.1	462	289.402	156	42.0756
Smp_200470.1	276	113.567	0	0
Smp_200480.1	480	307.253	1	0.254045
Smp_073800.1	2571	2397.57	803	26.1428
Smp_073790.1	781	607.602	4299	552.276
Smp_162060.1	2212	2038.57	2483	95.0733
Smp_162050.1	5603	5429.57	839	12.0616
Smp_162040.1	8890	8716.57	3835.97	34.3508
Smp_162030.1	1425	1251.57	522	32.5554
Smp_073720.1	3573	3399.57	1316	30.2162
Smp_162010.1	2385	2211.57	181.59	6.40913
Smp_073690.1	10945	10771.6	647.294	4.69062
Smp_073690.2	708	534.602	338.874	49.4784
Smp_073680.1	1258	1084.57	1275	91.7615
Smp_162000.1	23589	23415.6	4028.33	13.4285
Smp_118280.1	564	390.741	196	39.1538
Smp_191880.1	504	331.028	3	0.707399
Smp_073620.1	2185	2011.57	1272	49.3582
Smp_073610.2	11214	11040.6	1334.68	9.43609
Smp_073610.1	11384	11210.6	155.215	1.08072
Smp_073600.1	1128	954.569	1537	125.682
Smp_073590.1	787	613.602	2885	367.001
Smp_161990.1	525	351.89	226	50.1313
Smp_161940.1	872	698.569	369	41.2311
Smp_073490.1	1033	859.569	725	65.8362
Smp_073500.1	4587	4413.57	233.107	4.12262
Smp_073500.2	1359	1185.57	2266.7	149.236
Smp_161950.1	327	158.939	33	16.2066
Smp_073510.1	1568	1394.57	379.509	21.2417
Smp_161960.1	3527	3353.57	1035	24.0902
Smp_161970.1	2355	2181.57	1437	51.4156
Smp_073540.1	763	589.602	885	117.163
Smp_161980.1	4094	3920.57	1015	20.2081
Smp_073560.1	22014	21840.6	1030.37	3.68243
Smp_073560.2	1548	1374.57	901.219	51.1766
Smp_073570.1	947	773.569	433.165	43.7081
Smp_079240.1	2494	2320.57	320	10.7637
Smp_079230.1	431	258.882	1877	565.94
