target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	238.679	248	118.776
Smp_197050.1	186	51.4561	55	122.185
Smp_160500.1	5316	5151.36	206	4.57126
Smp_160490.1	3894	3729.36	288	8.82773
Smp_070540.1	5995	5830.36	546.181	10.7086
Smp_160480.1	791	626.359	27.2027	4.96453
Smp_160480.2	659	494.359	19.7973	4.57778
Smp_160470.1	3111	2946.36	354	13.7344
Smp_160460.1	7563	7398.36	1268.16	19.5942
Smp_160450.1	3576	3411.36	720	24.1266
Smp_191780.1	297	139.287	41	33.6484
Smp_160440.1	2374	2209.36	396	20.4889
Smp_160430.1	369	206.687	139	76.8764
Smp_160420.1	417	253.434	180	81.1893
Smp_160410.1	7034	6869.36	69.4182	1.15517
Smp_160410.2	875	710.359	387.268	62.3196
Smp_092930.1	1176	1011.36	283	31.9869
Smp_092950.1	5574	5409.36	890	18.8077
Smp_173020.1	2529	2364.36	198.801	9.61159
Smp_200370.1	204	63.6385	2.85819	5.13407
Smp_200460.1	246	95.4129	4	4.79229
Smp_158440.1	660	495.359	196	45.23
Smp_158430.1	813	648.359	102	17.9835
Smp_067090.1	434	270.057	252	106.668
Smp_158420.1	960	795.359	0	0
Smp_067060.1	1205	1040.36	36052.5	3961.35
Smp_067050.1	54	3	0	0
Smp_158410.1	597	432.384	0	0
Smp_184360.1	369	206.687	0	0
Smp_193860.1	655	490.384	0	0
Smp_179960.1	357	195.183	0	0
Smp_103610.1	1203	1038.36	30397.7	3346.45
Smp_179950.1	912	747.359	32.7607	5.01089
Smp_168300.1	288	131.197	0	0
Smp_168290.1	336	175.333	0	0
Smp_085010.1	1122	957.359	2446	292.06
Smp_168280.1	327	166.803	0	0
Smp_200280.1	246	95.4129	621	744.004
Smp_180980.1	474	309.736	19	7.01216
Smp_196410.1	1479	1314.36	2	0.173943
Smp_105320.1	401	237.703	1007	484.268
Smp_105330.1	975	810.359	616	86.8948
Smp_105340.1	3678	3513.36	203	6.60487
Smp_105360.1	3393	3228.36	106	3.75331
Smp_105370.1	1002	837.359	26	3.54938
Smp_181040.1	2006	1841.36	86	5.33889
Smp_181050.1	6838	6673.36	3179	54.4549
Smp_178010.1	488	323.657	1015.47	358.651
Smp_016050.1	3316	3151.36	2280	82.7042
Smp_130910.1	1113	948.359	557	67.1387
Smp_172850.1	647	482.384	998	236.499
Smp_130920.1	2289	2124.36	412	22.1697
Smp_130930.1	489	324.657	189	66.5468
Smp_016090.1	6991	6826.36	1343	22.4894
Smp_130940.1	13950	13785.4	751.491	6.23156
Smp_209000.1	222131	221966	5315.95	2.73769
Smp_016200.1	1177	1012.36	183.734	20.7465
Smp_016200.4	5574	5409.36	91.7043	1.93791
Smp_016200.3	1492	1327.36	1032.36	88.9068
Smp_016180.1	5049	4884.36	126.164	2.95269
Smp_130980.1	1194	1029.36	403.979	44.8625
Smp_130970.1	1527	1362.36	9.85596	0.826985
Smp_130960.1	2352	2187.36	47.7121	2.49344
Smp_016130.1	5892	5727.36	291.786	5.82373
Smp_130950.1	1715	1550.36	2188.58	161.369
Smp_171010.1	2046	1881.36	175	10.633
Smp_089570.1	427	263.15	1717	745.861
Smp_171020.1	3829	3664.36	4071	126.997
Smp_089590.1	1677	1512.36	1236	93.4231
Smp_171030.1	1065	900.359	74	9.39521
Smp_171040.1	3960	3795.36	1029	30.9923
Smp_089630.1	1707	1542.36	600	44.4689
Smp_089640.2	1176	1011.36	2555.02	288.788
Smp_089640.3	2750	2585.36	138.982	6.14511
Smp_089650.1	2451	2286.36	260	12.9993
Smp_089670.1	6354	6189.36	5347	98.7541
Smp_171060.1	819	654.359	2	0.349385
Smp_171070.1	6709	6544.36	601.14	10.5002
Smp_089700.1	3334	3169.36	3916	141.241
Smp_171080.1	720	555.359	312	64.2202
Smp_171090.1	2014	1849.36	563	34.7999
Smp_196980.1	225	78.9161	43	62.2864
Smp_196580.1	51	1	0	0
Smp_022640.1	887	722.359	2641	417.932
Smp_092150.1	791	626.359	54.3891	9.92612
Smp_151640.1	691	526.359	69	14.985
Smp_055390.1	987	822.359	212	29.469
Smp_055400.1	3481	3316.36	528.319	18.2107
Smp_151650.1	650	485.384	482	113.515
Smp_055420.2	567	402.447	111.111	31.5601
Smp_055420.1	974	809.359	253.889	35.8586
Smp_151660.1	2052	1887.36	15	0.908505
Smp_151670.1	1470	1305.36	300	26.2713
Smp_055440.1	2328	2163.36	238	12.5759
Smp_055450.1	683	518.359	345	76.0815
Smp_200290.1	204	63.6385	30	53.888
Smp_151680.1	564	399.447	54	15.4535
Smp_118240.1	936	771.359	106	15.7087
Smp_167830.1	303	144.695	1	0.790021
Smp_152160.1	345	183.814	0	0
Smp_209020.1	123	15.0699	0	0
Smp_152150.1	9707	9542.36	43.2818	0.51849
Smp_200940.1	438	274.043	1	0.41713
Smp_196600.1	3423	3258.36	403	14.1383
Smp_152180.1	1518	1353.36	1140	96.2903
Smp_152190.1	681	516.359	1	0.22138
Smp_152200.1	1068	903.359	7	0.885785
Smp_152210.1	279	123.312	15	13.9052
Smp_200970.1	171	41.8812	13.0179	35.5313
Smp_152220.1	1221	1056.36	105	11.3624
Smp_056200.1	1446	1281.36	1251	111.603
Smp_152230.1	4512	4347.36	363	9.54491
Smp_152260.1	6051	5886.36	175	3.39846
Smp_152270.1	962	797.359	758	108.669
Smp_056240.1	1939	1774.36	564	36.3353
Smp_152280.1	1041	876.359	29	3.78274
Smp_056260.1	1017	852.359	99	13.2771
Smp_152290.1	1041	876.359	105	13.6961
Smp_056280.1	1947	1782.36	42	2.69367
Smp_056290.1	5859	5694.36	10	0.200746
Smp_152300.1	2525	2360.36	136	6.58645
Smp_152310.1	1134	969.359	0	0
Smp_200300.1	354	192.321	181	107.583
Smp_176450.1	4560	4395.36	19	0.49414
Smp_176440.1	6912	6747.36	1088.84	18.4469
Smp_176430.2	3774	3609.36	315.022	9.97704
Smp_176430.1	4233	4068.36	128.978	3.62398
Smp_176460.1	981	816.359	128	17.9234
Smp_189980.1	783	618.359	1.78175	0.329379
Smp_098840.1	1944	1779.36	989	63.5365
Smp_098850.1	813	648.359	60	10.5786
Smp_163240.1	3279	3114.36	208.867	7.66641
Smp_163230.1	1635	1470.36	368	28.6098
Smp_163220.1	1119	954.359	278	33.2984
Smp_163210.1	2427	2262.36	1635	82.6127
Smp_200310.1	285	128.562	23.8858	21.2382
Smp_068990.1	7963	7798.36	669.785	9.81799
Smp_159540.1	12903	12738.4	420	3.769
Smp_116070.1	267	112.842	0	0
Smp_159550.1	2046	1881.36	162	9.84315
Smp_159560.1	2208	2043.36	101	5.65025
Smp_159570.1	3744	3579.36	507	16.1917
Smp_159590.1	2091	1926.36	402	23.855
Smp_159600.1	4779	4614.36	1199	29.7029
Smp_129610.1	1155	990.359	79	9.11854
Smp_129600.1	444	280.016	31	12.6552
Smp_129590.1	4881	4716.36	435.922	10.5656
Smp_129580.1	3912	3747.36	622.79	18.9979
Smp_201090.1	1422	1257.36	112	10.1824
Smp_129550.1	2800	2635.36	525.253	22.7835
Smp_129560.1	2528	2363.36	828	40.049
Smp_013690.1	3060	2895.36	832	32.8482
Smp_209010.1	38357	38192.4	1739	5.20491
Smp_129570.1	1974	1809.36	557.393	35.215
Smp_124360.1	615	450.384	474	120.306
Smp_124350.1	3279	3114.36	157	5.76264
Smp_004090.1	834	669.359	364	62.1631
Smp_004080.1	1397	1232.36	484	44.8951
Smp_004070.1	776	611.359	51	9.53596
Smp_004060.1	1587	1422.36	82	6.59015
Smp_124340.1	2328	2163.36	16	0.845439
Smp_004040.1	1251	1086.36	200	21.0449
Smp_004020.1	4161	3996.36	1074	30.7207
Smp_124320.1	1230	1065.36	343	36.8035
Smp_004000.1	3090	2925.36	172.012	6.72157
Smp_003990.1	1172	1007.36	6229	706.846
Smp_003980.1	2372	2207.36	972	50.3366
Smp_114240.1	415	251.472	189.362	86.0787
Smp_003970.1	809	644.359	1259	223.351
Smp_101670.1	3278	3113.36	177	6.49882
Smp_124310.1	712	547.359	160	33.4148
Smp_124300.1	2014	1849.36	560	34.6145
Smp_124290.1	384	221.172	522	269.793
Smp_003940.1	1118	953.359	163	19.5444
Smp_003930.1	1720	1555.36	195	14.3316
Smp_124280.1	2021	1856.36	18	1.10841
Smp_003900.1	3570	3405.36	154	5.1695
Smp_124250.1	1125	960.359	124	14.7597
Smp_124240.1	1748	1583.36	3815	275.427
Smp_003860.1	809	644.359	397	70.4293
Smp_124230.1	1017	852.359	119	15.9593
Smp_124220.1	6395	6230.36	1013	18.586
Smp_124210.1	2163	1998.36	50	2.86014
Smp_193890.1	162	36.2607	5	15.7625
Smp_193900.1	243	92.9631	0	0
Smp_124200.1	4437	4272.36	24	0.642147
Smp_003790.1	831	666.359	10	1.71547
Smp_124190.1	2616	2451.36	47	2.1917
Smp_003770.1	582	417.447	4764	1304.55
Smp_003760.1	576	411.447	29	8.05703
Smp_124180.1	6729	6564.36	3	0.052242
Smp_124170.1	3903	3738.36	260	7.95029
Smp_124160.1	1006	841.359	136.149	18.4979
Smp_124160.2	936	771.359	125.851	18.6506
Smp_003700.1	1180	1015.36	765	86.1256
Smp_124130.1	1434	1269.36	110	9.90601
Smp_003670.1	3459	3294.36	479	16.6209
Smp_003660.1	2381	2216.36	3013	155.4
Smp_124120.1	1713	1548.36	108	7.97339
Smp_124110.1	2250	2085.36	347	19.0213
Smp_003630.1	1610	1445.36	1012	80.0379
Smp_003620.1	2144	1979.36	1122	64.7976
Smp_003610.1	2325	2160.36	496.363	26.2642
Smp_003610.2	471	306.752	580.441	216.302
Smp_003600.1	471	306.752	20	7.45304
Smp_188200.1	480	315.705	0	0
Smp_124100.1	2775	2610.36	398	17.429
Smp_124090.1	2865	2700.36	15	0.634981
Smp_124080.1	279	123.312	10	9.27012
Smp_124070.1	698	533.359	106	22.7184
Smp_124060.1	711	546.359	84	17.5749
Smp_124050.1	2408	2243.36	481.128	24.5162
Smp_124050.2	1167	1002.36	0	0
