target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	235.475	377	140.716
Smp_197050.1	186	49.6546	26	46.0214
Smp_160500.1	5316	5147.37	203	3.46622
Smp_160490.1	3894	3725.37	195	4.60056
Smp_070540.1	5995	5826.37	386.28	5.82707
Smp_160480.1	791	622.371	9.88526	1.396
Smp_160480.2	659	490.686	11.1147	1.99086
Smp_160470.1	3111	2942.37	302	9.02102
Smp_160460.1	7563	7394.37	676.073	8.03597
Smp_160450.1	3576	3407.37	853	22.0027
Smp_191780.1	297	136.713	29	18.6437
Smp_160440.1	2374	2205.37	602	23.9917
Smp_160430.1	369	203.558	243	104.922
Smp_160420.1	417	249.953	269	94.589
Smp_160410.1	7034	6865.37	64.7681	0.82917
Smp_160410.2	875	706.371	476.921	59.3416
Smp_092930.1	1176	1007.37	596	51.9999
Smp_092950.1	5574	5405.37	850	13.821
Smp_173020.1	2529	2360.37	197.027	7.33653
Smp_200370.1	204	61.5695	5.54794	7.91976
Smp_200460.1	246	93.2146	6	5.65735
Smp_158440.1	660	491.686	288	51.4814
Smp_158430.1	813	644.371	165	22.5058
Smp_067090.1	434	266.641	406	133.827
Smp_158420.1	960	791.371	8.00212	0.888732
Smp_067060.1	1205	1036.37	44462.1	3770.69
Smp_067050.1	54	14	0	0
Smp_158410.1	597	428.759	0	0
Smp_184360.1	369	203.558	0	0
Smp_193860.1	655	486.735	0	0
Smp_179960.1	357	192.136	0	0
Smp_103610.1	1203	1034.37	43638.6	3708.01
Smp_179950.1	912	743.371	64.2955	7.60188
Smp_168300.1	288	128.643	0	0
Smp_168290.1	336	172.267	0	0
Smp_085010.1	1122	953.371	2865	264.124
Smp_168280.1	327	163.877	0	0
Smp_200280.1	246	93.2146	867	817.488
Smp_180980.1	474	306.206	3	0.861099
Smp_196410.1	1479	1310.37	13	0.871957
Smp_105320.1	401	234.487	1491	558.863
Smp_105330.1	975	806.371	943	102.783
Smp_105340.1	3678	3509.37	270	6.76208
Smp_105360.1	3393	3224.37	124	3.38005
