target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	223.031	214	97.3393
Smp_197050.1	186	42.0595	66	159.192
Smp_160500.1	5316	5135.17	124	2.44967
Smp_160490.1	3894	3713.17	192	5.24562
Smp_070540.1	5995	5814.17	258.749	4.51472
Smp_160480.1	791	610.166	24.1212	4.01043
Smp_160480.2	659	478.19	28.8788	6.12658
Smp_160470.1	3111	2930.17	285	9.86717
Smp_160460.1	7563	7382.17	1175.2	16.1499
Smp_160450.1	3576	3395.17	589	17.5993
Smp_191780.1	297	124.676	9	7.32318
Smp_160440.1	2374	2193.17	277	12.8129
Smp_160430.1	369	191.291	71	37.6534
Smp_160420.1	417	237.617	107	45.6821
Smp_160410.1	7034	6853.17	63.9955	0.947323
Smp_160410.2	875	694.166	401.937	58.7401
Smp_092930.1	1176	995.166	216	22.019
Smp_092950.1	5574	5393.17	668	12.5653
Smp_173020.1	2529	2348.17	179.034	7.73476
Smp_200370.1	204	52.5675	3.32454	6.41585
Smp_200460.1	246	82.459	4	4.9211
Smp_158440.1	660	479.19	139	29.4271
Smp_158430.1	813	632.166	136	21.8247
Smp_067090.1	434	254.272	287	114.505
Smp_158420.1	960	779.166	1.00019	0.130225
Smp_067060.1	1205	1024.17	27589.5	2732.84
Smp_067050.1	54	18	0	0
Smp_158410.1	597	416.212	0	0
Smp_184360.1	369	191.291	0	0
Smp_193860.1	655	474.19	0	0
Smp_179960.1	357	179.883	0	0
Smp_103610.1	1203	1022.17	24907.1	2471.96
Smp_179950.1	912	731.166	12.4263	1.72412
Smp_168300.1	288	116.837	0	0
Smp_168290.1	336	160.182	0	0
Smp_085010.1	1122	941.166	2837	305.797
Smp_168280.1	327	151.755	0	0
Smp_200280.1	246	82.459	470	578.229
Smp_180980.1	474	293.662	11	3.80001
Smp_196410.1	1479	1298.17	2	0.156293
Smp_105320.1	401	222.054	663	302.898
Smp_105330.1	975	794.166	480	61.3155
Smp_105340.1	3678	3497.17	170	4.93143
Smp_105360.1	3393	3212.17	99	3.12664
Smp_105370.1	1002	821.166	134	16.5544
Smp_181040.1	2006	1825.17	44	2.44563
Smp_181050.1	6838	6657.17	2383.23	36.3175
Smp_178010.1	488	307.587	632.819	208.714
Smp_016050.1	3316	3135.17	1832	59.2796
Smp_130910.1	1113	932.166	519	56.4826
Smp_172850.1	647	466.19	840	182.792
Smp_130920.1	2289	2108.17	646	31.0862
Smp_130930.1	489	308.587	276	90.7345
Smp_016090.1	6991	6810.17	1071	15.9541
Smp_130940.1	13950	13769.2	685.966	5.054
Smp_209000.1	222131	221950	3245.4	1.48338
Smp_016200.1	1177	996.166	0	0
Smp_016200.4	5574	5393.17	93.2033	1.75319
Smp_016200.3	1492	1311.17	743.066	57.4923
Smp_016180.1	5049	4868.17	88.7056	1.84853
Smp_130980.1	1194	1013.17	288.628	28.9
Smp_130970.1	1527	1346.17	0	0
Smp_130960.1	2352	2171.17	37.1083	1.73388
Smp_016130.1	5892	5711.17	324.897	5.77114
Smp_130950.1	1715	1534.17	2146.94	141.967
Smp_171010.1	2046	1865.17	93	5.05831
Smp_089570.1	427	247.411	1787	732.733
Smp_171020.1	3829	3648.17	2815	78.2788
Smp_089590.1	1677	1496.17	1042	70.6526
