target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	228.707	284	80.531
Smp_197050.1	186	44.009	14	20.6305
Smp_160500.1	5316	5140.97	151	1.90483
Smp_160490.1	3894	3718.97	178	3.10399
Smp_070540.1	5995	5819.97	1190.32	13.2637
Smp_160480.1	791	615.974	4	0.421135
Smp_160480.2	659	484.255	0	0
Smp_160470.1	3111	2935.97	103	2.27514
Smp_160460.1	7563	7387.97	184	1.61516
Smp_160450.1	3576	3400.97	557	10.6213
Smp_191780.1	297	129.562	5	2.50274
Smp_160440.1	2374	2198.97	442	13.0355
Smp_160430.1	369	196.828	292	96.2099
Smp_160420.1	417	243.387	326	86.8648
Smp_160410.1	7034	6858.97	40.2262	0.380341
Smp_160410.2	875	699.974	299.403	27.7395
Smp_092930.1	1176	1000.97	651	42.1776
Smp_092950.1	5574	5398.97	546	6.55851
Smp_173020.1	2529	2353.97	92.0778	2.53675
Smp_200370.1	204	55.6044	1	1.16631
Smp_200460.1	246	86.1858	9	6.77222
Smp_158440.1	660	485.207	174	23.2566
Smp_158430.1	813	637.974	73	7.42068
Smp_067090.1	434	260.149	315	78.5259
Smp_158420.1	960	784.974	11.0008	0.908854
Smp_067060.1	1205	1029.97	40954.8	2578.71
Smp_067050.1	54	14.5	0	0
Smp_158410.1	597	422.371	1	0.153543
Smp_184360.1	369	196.828	0	0
Smp_193860.1	655	480.279	0	0
Smp_179960.1	357	185.385	0	0
Smp_103610.1	1203	1027.97	74096.1	4674.52
Smp_179950.1	912	736.974	115.096	10.1282
Smp_168300.1	288	121.451	0	0
Smp_168290.1	336	165.381	0	0
Smp_085010.1	1122	946.974	2687	184.015
Smp_168280.1	327	156.964	0	0
Smp_200280.1	246	86.1858	385	289.7
Smp_180980.1	474	299.843	0	0
Smp_196410.1	1479	1303.97	0	0
Smp_105320.1	401	227.741	2462	701.084
Smp_105330.1	975	799.974	713	57.8013
Smp_105340.1	3678	3502.97	11	0.203648
Smp_105360.1	3393	3217.97	28	0.564286
Smp_105370.1	1002	826.974	83	6.50894
Smp_181040.1	2006	1830.97	20	0.708389
Smp_181050.1	6838	6662.97	2592	25.2285
Smp_178010.1	488	313.736	809.953	167.425
Smp_016050.1	3316	3140.97	2196	45.3411
Smp_130910.1	1113	937.974	624	43.1437
Smp_172850.1	647	472.303	1006	138.134
Smp_130920.1	2289	2113.97	73	2.23948
Smp_130930.1	489	314.736	70	14.4237
Smp_016090.1	6991	6815.97	973	9.25782
Smp_130940.1	13950	13775	879.046	4.13852
Smp_209000.1	222131	221956	3774.59	1.10288
Smp_016200.1	1177	1001.97	33.7193	2.18246
Smp_016200.4	5574	5398.97	95.9459	1.1525
Smp_016200.3	1492	1316.97	767.975	37.8176
Smp_016180.1	5049	4873.97	1.09094	0.0145158
Smp_130980.1	1194	1018.97	515.809	32.8284
Smp_130970.1	1527	1351.97	371.579	17.8241
Smp_130960.1	2352	2176.97	0	0
Smp_016130.1	5892	5716.97	272.999	3.09684
Smp_130950.1	1715	1539.97	567	23.8778
Smp_171010.1	2046	1870.97	40	1.38649
Smp_089570.1	427	253.226	2850	729.897
Smp_171020.1	3829	3653.97	532	9.44213
Smp_089590.1	1677	1501.97	1048	45.2504
Smp_171030.1	1065	889.974	138	10.056
Smp_171040.1	3960	3784.97	1029	17.631
Smp_089630.1	1707	1531.97	952	40.3004
Smp_089640.2	1176	1000.97	2758.28	178.706
Smp_089640.3	2750	2574.97	78.7245	1.98272
Smp_089650.1	2451	2275.97	300	8.54826
Smp_089670.1	6354	6178.97	814	8.54342
Smp_171060.1	819	643.974	1	0.100706
Smp_171070.1	6709	6533.97	693.281	6.88107
Smp_089700.1	3334	3158.97	1289	26.4625
Smp_171080.1	720	544.974	575	68.4251
Smp_171090.1	2014	1838.97	306	10.7912
Smp_196980.1	225	70.1653	0	0
Smp_196580.1	51	11.5	0	0
Smp_022640.1	887	711.974	7504	683.522
Smp_092150.1	791	615.974	45.2289	4.76187
Smp_151640.1	691	516.081	170.761	21.4583
Smp_055390.1	987	811.974	307	24.52
Smp_055400.1	3481	3305.97	830.894	16.2993
Smp_151650.1	650	475.279	749	102.201
Smp_055420.2	567	392.451	54.7603	9.04908
Smp_055420.1	974	798.974	179.24	14.5487
Smp_151660.1	2052	1876.97	70	2.4186
Smp_151670.1	1470	1294.97	212	10.6169
Smp_055440.1	2328	2152.97	49	1.47598
Smp_055450.1	683	508.132	357	45.5634
Smp_200290.1	204	55.6044	26	30.3241
Smp_151680.1	564	389.451	3	0.499565
Smp_118240.1	936	760.974	24	2.04534
Smp_167830.1	303	134.885	69	33.1749
Smp_152160.1	345	174	9	3.35442
Smp_209020.1	123	13.4852	1	4.80913
Smp_152150.1	9707	9531.97	4542.65	30.9065
Smp_200940.1	438	264.083	1	0.245575
Smp_196600.1	3423	3247.97	186	3.71385
Smp_152180.1	1518	1342.97	417	20.1369
Smp_152190.1	681	506.132	2	0.256266
Smp_152200.1	1068	892.974	0	0
Smp_152210.1	279	113.555	1	0.571106
Smp_200970.1	171	35.0019	1	1.85282
Smp_152220.1	1221	1045.97	53	3.28608
Smp_056200.1	1446	1270.97	1153	58.8324
Smp_152230.1	4512	4336.97	309	4.62057
Smp_152260.1	6051	5875.97	34	0.375252
Smp_152270.1	962	786.974	890	73.3421
Smp_056240.1	1939	1763.97	828	30.4412
Smp_152280.1	1041	865.974	14	1.04845
Smp_056260.1	1017	841.974	122	9.39691
Smp_152290.1	1041	865.974	28	2.0969
Smp_056280.1	1947	1771.97	20	0.731975
Smp_056290.1	5859	5683.97	100	1.14096
Smp_152300.1	2525	2349.97	423	11.6735
Smp_152310.1	1134	958.974	5	0.338133
Smp_200300.1	354	182.478	169	60.0621
Smp_176450.1	4560	4384.97	3	0.0443688
Smp_176440.1	6912	6736.97	712.522	6.85894
Smp_176430.2	3774	3598.97	49.3249	0.888816
Smp_176430.1	4233	4057.97	31.6751	0.506212
Smp_176460.1	981	805.974	195	15.6905
Smp_189980.1	783	607.974	0	0
Smp_098840.1	1944	1768.97	621	22.7664
Smp_098850.1	813	637.974	111	11.2835
Smp_163240.1	3279	3103.97	45.2094	0.944571
Smp_163230.1	1635	1459.97	319	14.17
Smp_163220.1	1119	943.974	159	10.9235
Smp_163210.1	2427	2251.97	502	14.4565
Smp_200310.1	285	118.822	64.4671	35.1857
Smp_068990.1	7963	7787.97	523.118	4.35611
Smp_159540.1	12903	12728	289	1.47252
Smp_116070.1	267	103.44	1	0.626955
Smp_159550.1	2046	1870.97	170	5.89257
Smp_159560.1	2208	2032.97	10	0.319001
Smp_159570.1	3744	3568.97	125	2.27138
Smp_159590.1	2091	1915.97	185	6.2619
Smp_159600.1	4779	4603.97	79	1.1128
Smp_129610.1	1155	979.974	420	27.7945
Smp_129600.1	444	270.043	11	2.6417
Smp_129590.1	4881	4705.97	376	5.18158
Smp_129580.1	3912	3736.97	590.618	10.2497
Smp_201090.1	1422	1246.97	17	0.884128
Smp_129550.1	2800	2624.97	421.382	10.4106
Smp_129560.1	2528	2352.97	903	24.8883
Smp_013690.1	3060	2884.97	1021	22.9513
Smp_209010.1	38357	38182	974.642	1.65543
Smp_129570.1	1974	1798.97	763.308	27.5168
Smp_124360.1	615	440.371	827	121.79
Smp_124350.1	3279	3103.97	24	0.501438
Smp_004090.1	834	658.974	465	45.7624
Smp_004080.1	1397	1221.97	855	45.3762
Smp_004070.1	776	600.974	18	1.94241
Smp_004060.1	1587	1411.97	307	14.1005
Smp_124340.1	2328	2152.97	18	0.542198
Smp_004040.1	1251	1075.97	171	10.3067
Smp_004020.1	4161	3985.97	1323	21.5253
Smp_124320.1	1230	1054.97	534	32.8264
Smp_004000.1	3090	2914.97	378.144	8.41292
Smp_003990.1	1172	996.974	4461	290.183
Smp_003980.1	2372	2196.97	858	25.3271
Smp_114240.1	415	241.436	22.4956	6.04254
Smp_003970.1	809	633.974	3737	382.274
Smp_101670.1	3278	3102.97	269	5.62209
Smp_124310.1	712	537.002	258	31.1579
Smp_124300.1	2014	1838.97	720	25.3911
Smp_124290.1	384	211.303	113	34.6814
Smp_003940.1	1118	942.974	182	12.5169
Smp_003930.1	1720	1544.97	39	1.63707
Smp_124280.1	2021	1845.97	53	1.86198
Smp_003900.1	3570	3394.97	71	1.35627
Smp_124250.1	1125	949.974	29	1.97975
Smp_124240.1	1748	1572.97	1318	54.3398
Smp_003860.1	809	633.974	428	43.782
Smp_124230.1	1017	841.974	264	20.3343
Smp_124220.1	6395	6219.97	1013	10.562
Smp_124210.1	2163	1987.97	9	0.2936
Smp_193890.1	162	30.3288	2	4.2766
Smp_193900.1	243	83.7564	0	0
Smp_124200.1	4437	4261.97	3	0.0456493
Smp_003790.1	831	655.974	1	0.0988637
Smp_124190.1	2616	2440.97	21	0.55793
Smp_003770.1	582	407.371	6234	992.431
Smp_003760.1	576	401.392	29	4.68547
Smp_124180.1	6729	6553.97	0	0
Smp_124170.1	3903	3727.97	33	0.57407
Smp_124160.1	1006	830.974	149.11	11.6371
Smp_124160.2	936	760.974	250.89	21.3814
Smp_003700.1	1180	1004.97	992	64.0148
Smp_124130.1	1434	1258.97	20	1.03024
Smp_003670.1	3459	3283.97	371	7.32653
Smp_003660.1	2381	2205.97	3751	110.273
Smp_124120.1	1713	1537.97	267	11.2586
Smp_124110.1	2250	2074.97	417	13.0331
Smp_003630.1	1610	1434.97	1354	61.1925
Smp_003620.1	2144	1968.97	739	24.3404
Smp_003610.1	2325	2149.97	227.675	6.8676
Smp_003610.2	471	296.858	247.017	53.9637
Smp_003600.1	471	296.858	0	0
Smp_188200.1	480	305.813	1	0.212064
Smp_124100.1	2775	2599.97	468	11.6735
Smp_124090.1	2865	2689.97	2	0.0482176
Smp_124080.1	279	113.555	2	1.14221
Smp_124070.1	698	523.081	905	112.203
Smp_124060.1	711	536.002	670	81.0649
Smp_124050.1	2408	2232.97	19.8772	0.577292
Smp_124050.2	1167	991.974	0	0
Smp_124050.4	1305	1129.97	95.1228	5.45934
Smp_124040.1	1041	865.974	239	17.8985
Smp_200320.1	219	65.8405	9	8.86488
Smp_124030.1	1407	1231.97	174	9.15949
Smp_124020.1	1286	1110.97	355	20.7228
Smp_124010.1	375	202.637	0	0
Smp_124000.1	415	241.436	559	150.153
Smp_003440.1	1797	1621.97	123	4.91796
Smp_200330.1	750	574.974	1076	121.363
Smp_123990.1	1203	1027.97	1131	71.3517
Smp_123980.1	219	65.8405	0	0
Smp_003410.1	663	488.207	8641	1147.85
Smp_123970.1	273	108.443	1	0.598029
Smp_123960.1	13015	12840	168	0.848534
Smp_188600.1	213	61.655	0	0
Smp_123950.1	2732	2556.97	612.313	15.53
Smp_123940.1	3587	3411.97	518.687	9.85879
Smp_003340.1	3440	3264.97	1362	27.0534
Smp_003330.1	586	411.371	191	30.1109
Smp_123930.1	1284	1108.97	2076	121.403
Smp_123920.1	573	398.392	0	0
Smp_003300.1	1167	991.974	0	0
Smp_123910.1	741	565.974	29	3.32296
Smp_123900.1	195	49.7611	0	0
Smp_003280.1	3027	2851.97	30	0.682181
Smp_123880.1	586	411.371	3905	615.617
Smp_003250.1	408	234.556	331	91.5179
Smp_123870.1	498	323.625	670	134.263
Smp_003230.1	3038	2862.97	457.886	10.372
Smp_123860.1	2709	2533.97	89	2.27778
Smp_123850.1	264	100.923	0	0
Smp_123840.1	2580	2404.97	26	0.701111
Smp_003190.1	3648	3472.97	52	0.971015
Smp_123830.1	4818	4642.97	1813	25.3236
Smp_123820.1	3120	2944.97	8	0.17617
Smp_123810.1	1542	1366.97	49	2.32466
Smp_003140.1	1766	1590.97	739	30.1235
Smp_003130.1	741	565.974	361	41.3651
Smp_123790.1	948	772.974	7	0.587296
Smp_123780.1	1944	1768.97	37	1.35645
Smp_003110.1	1246	1070.97	672.208	40.7051
Smp_003110.2	5152	4976.97	164.37	2.14182
Smp_197080.1	2541	2365.97	497	13.6229
Smp_197070.1	1734	1558.97	62	2.57915
Smp_123750.1	3142	2966.97	2119.67	46.3318
