target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	235.084	280	93.2459
Smp_197050.1	186	48.8493	54	86.5426
Smp_160500.1	5316	5147.37	169	2.57037
Smp_160490.1	3894	3725.37	214	4.49717
Smp_070540.1	5995	5826.37	860.946	11.5684
Smp_160480.1	791	622.366	33.4889	4.21259
Smp_160480.2	659	490.366	33.5111	5.35011
Smp_160470.1	3111	2942.37	319	8.48766
Smp_160460.1	7563	7394.37	1229.08	13.0128
Smp_160450.1	3576	3407.37	626	14.383
Smp_191780.1	297	136.002	15	8.63459
Smp_160440.1	2374	2205.37	371	13.1701
Smp_160430.1	369	203.259	145	55.8486
Smp_160420.1	417	249.648	198	62.0915
Smp_160410.1	7034	6865.37	69.4575	0.792045
Smp_160410.2	875	706.366	313.566	34.7531
Smp_092930.1	1176	1007.37	342	26.5787
Smp_092950.1	5574	5405.37	865	12.5281
Smp_173020.1	2529	2360.37	323.165	10.7186
Smp_200370.1	204	61.0513	3.84916	4.93589
Smp_200460.1	246	92.4783	6	5.07932
Smp_158440.1	660	491.366	165	26.2889
Smp_158430.1	813	644.366	183	22.2337
Smp_067090.1	434	266.363	343	100.812
Smp_158420.1	960	791.366	22.0047	2.17687
Smp_067060.1	1205	1036.37	14110.5	1065.92
Smp_067050.1	54	19	0	0
Smp_158410.1	597	428.411	0	0
Smp_184360.1	369	203.259	0	0
Smp_193860.1	655	486.366	0	0
Smp_179960.1	357	191.747	0	0
Smp_103610.1	1203	1034.37	44207.3	3345.91
Smp_179950.1	912	743.366	21.1949	2.23215
Smp_168300.1	288	127.915	0	0
Smp_168290.1	336	171.879	0	0
Smp_085010.1	1122	953.366	254	20.8578
Smp_168280.1	327	163.392	0	0
Smp_200280.1	246	92.4783	309	261.585
Smp_180980.1	474	305.851	7	1.79177
Smp_196410.1	1479	1310.37	0	0
Smp_105320.1	401	234.107	1632	545.757
Smp_105330.1	975	806.366	648	62.9125
Smp_105340.1	3678	3509.37	176	3.92625
