target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	218.612	206	91.5559
Smp_197050.1	186	40.1111	54	130.804
Smp_160500.1	5316	5130.24	129	2.44312
Smp_160490.1	3894	3708.24	191	5.00447
Smp_070540.1	5995	5809.24	286.378	4.78975
Smp_160480.1	791	605.274	21.9894	3.52984
Smp_160480.2	659	473.573	23.0106	4.72099
Smp_160470.1	3111	2925.24	280	9.30012
Smp_160460.1	7563	7377.24	1119.06	14.7385
Smp_160450.1	3576	3390.24	548	15.7052
Smp_191780.1	297	121.352	23	18.415
Smp_160440.1	2374	2188.24	293	13.0096
Smp_160430.1	369	186.982	89	46.2469
Smp_160420.1	417	233.206	97	40.4133
Smp_160410.1	7034	6848.24	58.5468	0.830647
Smp_160410.2	875	689.243	384.513	54.2041
Smp_092930.1	1176	990.243	197	19.3293
Smp_092950.1	5574	5388.24	661	11.9192
Smp_173020.1	2529	2343.24	156.041	6.47013
Smp_200370.1	204	50.6668	3.51052	6.73194
Smp_200460.1	246	79.6956	3	3.65746
Smp_158440.1	660	474.573	128	26.2059
Smp_158430.1	813	627.243	111	17.1941
Smp_067090.1	434	249.987	246	95.6115
Smp_158420.1	960	774.243	0	0
Smp_067060.1	1205	1019.24	17247.5	1644.15
Smp_067050.1	54	16.8	0	0
Smp_158410.1	597	411.683	0	0
Smp_184360.1	369	186.982	0	0
Smp_193860.1	655	469.573	0	0
Smp_179960.1	357	175.569	0	0
Smp_103610.1	1203	1017.24	25620.4	2447.12
Smp_179950.1	912	726.243	1.03657	0.138678
Smp_168300.1	288	113.673	0	0
Smp_168290.1	336	156.064	0	0
Smp_085010.1	1122	936.243	2511	260.586
Smp_168280.1	327	147.961	0	0
Smp_200280.1	246	79.6956	567	691.26
Smp_180980.1	474	289.373	10	3.35765
Smp_196410.1	1479	1293.24	4	0.300519
Smp_105320.1	401	217.655	496	221.414
Smp_105330.1	975	789.243	496	61.0609
Smp_105340.1	3678	3492.24	161	4.47934
Smp_105360.1	3393	3207.24	71	2.15089
Smp_105370.1	1002	816.243	108	12.8557
Smp_181040.1	2006	1820.24	59	3.14931
Smp_181050.1	6838	6652.24	2182	31.8698
Smp_178010.1	488	303.224	518.621	166.18
Smp_016050.1	3316	3130.24	1701	52.7982
Smp_130910.1	1113	927.243	386	40.447
Smp_172850.1	647	461.596	693	145.869
Smp_130920.1	2289	2103.24	520	24.0218
Smp_130930.1	489	304.193	308	98.377
Smp_016090.1	6991	6805.24	1114	15.905
Smp_130940.1	13950	13764.2	685.541	4.8392
Smp_209000.1	222131	221945	3814.98	1.67009
Smp_016200.1	1177	991.243	24.2165	2.37369
Smp_016200.4	5574	5388.24	81.9972	1.47858
Smp_016200.3	1492	1306.24	741.084	55.1234
Smp_016180.1	5049	4863.24	68.6121	1.37078
Smp_130980.1	1194	1008.24	281.341	27.1119
Smp_130970.1	1527	1341.24	1.04329	0.0755774
Smp_130960.1	2352	2166.24	30.9672	1.38895
Smp_016130.1	5892	5706.24	222.647	3.79104
Smp_130950.1	1715	1529.24	1741.99	110.678
Smp_171010.1	2046	1860.24	110	5.74534
Smp_089570.1	427	243.086	1422	568.371
Smp_171020.1	3829	3643.24	2804	74.7795
Smp_089590.1	1677	1491.24	936	60.9846
Smp_171030.1	1065	879.243	57	6.29881
Smp_171040.1	3960	3774.24	897	23.0917
Smp_089630.1	1707	1521.24	521	33.276
Smp_089640.2	1176	990.243	1700.93	166.893
Smp_089640.3	2750	2564.24	107.071	4.057
Smp_089650.1	2451	2265.24	192	8.23529
Smp_089670.1	6354	6168.24	4585	72.2221
Smp_171060.1	819	633.243	0	0
Smp_171070.1	6709	6523.24	500.237	7.45084
Smp_089700.1	3334	3148.24	3311	102.184
Smp_171080.1	720	534.274	230	41.827
Smp_171090.1	2014	1828.24	453	24.0745
Smp_196980.1	225	64.5684	20	30.0956
Smp_196580.1	51	13.8	0	0
Smp_022640.1	887	701.243	1445	200.213
Smp_092150.1	791	605.274	58.7322	9.42794
Smp_151640.1	691	505.326	42	8.07552
Smp_055390.1	987	801.243	141	17.0981
Smp_055400.1	3481	3295.24	444.522	13.1069
Smp_151650.1	650	464.573	402	84.0746
Smp_055420.2	567	381.743	117.683	29.9526
Smp_055420.1	974	788.243	236.317	29.1291
Smp_151660.1	2052	1866.24	8	0.416499
Smp_151670.1	1470	1284.24	235	17.7792
Smp_055440.1	2328	2142.24	98	4.44478
Smp_055450.1	683	497.451	286	55.8609
Smp_200290.1	204	50.6668	28	53.6941
Smp_151680.1	564	378.743	14	3.5915
Smp_118240.1	936	750.243	28	3.62617
Smp_167830.1	303	126.474	2	1.53646
Smp_152160.1	345	164.434	0	0
Smp_209020.1	123	12.8559	0	0
Smp_152150.1	9707	9521.24	34.1829	0.348825
Smp_200940.1	438	253.924	4	1.53056
Smp_196600.1	3423	3237.24	312	9.36422
Smp_152180.1	1518	1332.24	1405	102.467
Smp_152190.1	681	495.476	0	0
Smp_152200.1	1068	882.243	23	2.53298
Smp_152210.1	279	106.047	11	10.0783
Smp_200970.1	171	32.2077	10	30.1671
Smp_152220.1	1221	1035.24	62	5.81891
Smp_056200.1	1446	1260.24	787	60.6754
Smp_152230.1	4512	4326.24	299	6.7151
Smp_152260.1	6051	5865.24	111	1.83878
Smp_152270.1	962	776.243	444	55.5748
Smp_056240.1	1939	1753.24	427	23.6635
Smp_152280.1	1041	855.243	24	2.72656
Smp_056260.1	1017	831.243	81	9.46781
Smp_152290.1	1041	855.243	90	10.2246
Smp_056280.1	1947	1761.24	125	6.89578
Smp_056290.1	5859	5673.24	10	0.171262
Smp_152300.1	2525	2339.24	131	5.44112
Smp_152310.1	1134	948.243	1	0.102464
Smp_200300.1	354	172.817	207	116.38
Smp_176450.1	4560	4374.24	6	0.133273
Smp_176440.1	6912	6726.24	900.869	13.0131
Smp_176430.2	3774	3588.24	76.0809	2.06009
Smp_176430.1	4233	4047.24	53.9191	1.29442
Smp_176460.1	981	795.243	120	14.6614
Smp_189980.1	783	597.274	7.57617e-05	1.23245e-05
Smp_098840.1	1944	1758.24	885.011	48.906
Smp_098850.1	813	627.243	48	7.43529
Smp_163240.1	3279	3093.24	130.882	4.11109
Smp_163230.1	1635	1449.24	300	20.1128
Smp_163220.1	1119	933.243	251	26.1319
Smp_163210.1	2427	2241.24	1666	72.2235
Smp_200310.1	285	111.129	14	12.2403
Smp_068990.1	7963	7777.24	544.4	6.80119
Smp_159540.1	12903	12717.2	299	2.28439
Smp_116070.1	267	96.1314	2	2.02142
Smp_159550.1	2046	1860.24	163	8.51355
Smp_159560.1	2208	2022.24	58	2.78668
Smp_159570.1	3744	3558.24	334	9.12018
Smp_159590.1	2091	1905.24	349	17.7979
Smp_159600.1	4779	4593.24	340	7.19204
Smp_129610.1	1155	969.243	70	7.0171
Smp_129600.1	444	259.782	26	9.72426
Smp_129590.1	4881	4695.24	346	7.15996
Smp_129580.1	3912	3726.24	492.933	12.8531
Smp_201090.1	1422	1236.24	64	5.03001
Smp_129550.1	2800	2614.24	415.193	15.4311
Smp_129560.1	2528	2342.24	693	28.7471
Smp_013690.1	3060	2874.24	801	27.0771
Smp_209010.1	38357	38171.2	1427.96	3.63474
Smp_129570.1	1974	1788.24	524.99	28.5244
Smp_124360.1	615	429.663	595	134.549
Smp_124350.1	3279	3093.24	126	3.95776
Smp_004090.1	834	648.243	345	51.7099
Smp_004080.1	1397	1211.24	281	22.5407
Smp_004070.1	776	590.274	62	10.2054
Smp_004060.1	1587	1401.24	29	2.01084
Smp_124340.1	2328	2142.24	4	0.181419
Smp_004040.1	1251	1065.24	188	17.1475
Smp_004020.1	4161	3975.24	890	21.753
Smp_124320.1	1230	1044.24	220	20.4698
Smp_004000.1	3090	2904.24	130.104	4.35261
Smp_003990.1	1172	986.243	5087	501.153
Smp_003980.1	2372	2186.24	929	41.2867
Smp_114240.1	415	231.253	137.061	57.5863
Smp_003970.1	809	623.243	884	137.812
Smp_101670.1	3278	3092.24	114	3.58198
Smp_124310.1	712	526.3	124	22.8918
Smp_124300.1	2014	1828.24	291	15.4651
Smp_124290.1	384	201.383	319	153.908
Smp_003940.1	1118	932.243	132	13.7574
Smp_003930.1	1720	1534.24	131	8.29602
Smp_124280.1	2021	1835.24	16	0.847069
Smp_003900.1	3570	3384.24	110	3.15808
Smp_124250.1	1125	939.243	78	8.06881
Smp_124240.1	1748	1562.24	2583	160.645
Smp_003860.1	809	623.243	328	51.1339
Smp_124230.1	1017	831.243	62	7.24697
Smp_124220.1	6395	6209.24	700	10.9535
Smp_124210.1	2163	1977.24	42	2.06387
