target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	226.259	233	96.5327
Smp_197050.1	186	43.405	26	56.151
Smp_160500.1	5316	5138.42	163	2.9736
Smp_160490.1	3894	3716.42	220	5.54909
Smp_070540.1	5995	5817.42	713.927	11.504
Smp_160480.1	791	613.419	17.8066	2.72111
Smp_160480.2	659	481.47	12.1934	2.374
Smp_160470.1	3111	2933.42	321	10.2578
Smp_160460.1	7563	7385.42	663.079	8.41616
Smp_160450.1	3576	3398.42	647	17.8464
Smp_191780.1	297	128.005	9	6.59083
Smp_160440.1	2374	2196.42	439	18.7358
Smp_160430.1	369	194.321	169	81.5251
Smp_160420.1	417	240.944	212	82.479
Smp_160410.1	7034	6856.42	47.8083	0.653626
Smp_160410.2	875	697.419	360.902	48.5087
Smp_092930.1	1176	998.419	466	43.7519
Smp_092950.1	5574	5396.42	600	10.4224
Smp_173020.1	2529	2351.42	174.933	6.97374
Smp_200370.1	204	54.7799	4.82654	8.25921
Smp_200460.1	246	85.2319	10	10.9982
Smp_158440.1	660	482.47	159	30.8923
Smp_158430.1	813	635.419	118	17.4079
Smp_067090.1	434	257.618	283	102.975
Smp_158420.1	960	782.419	0	0
Smp_067060.1	1205	1027.42	37291.1	3402.37
Smp_067050.1	54	29	0	0
Smp_158410.1	597	419.535	0	0
Smp_184360.1	369	194.321	0	0
Smp_193860.1	655	477.47	0	0
Smp_179960.1	357	183.015	0	0
Smp_103610.1	1203	1025.42	49864.5	4558.41
Smp_179950.1	912	734.419	44.4292	5.67085
Smp_168300.1	288	120.096	1	0.780543
Smp_168290.1	336	163.442	0	0
Smp_085010.1	1122	944.419	4346	431.369
Smp_168280.1	327	155.143	0	0
Smp_200280.1	246	85.2319	607	667.591
Smp_180980.1	474	297.123	1	0.315492
Smp_196410.1	1479	1301.42	1	0.0720289
Smp_105320.1	401	225.293	1259	523.845
Smp_105330.1	975	797.419	708	83.2282
Smp_105340.1	3678	3500.42	103	2.7583
Smp_105360.1	3393	3215.42	68	1.98242
Smp_105370.1	1002	824.419	141	16.0323
Smp_181040.1	2006	1828.42	29	1.48678
Smp_181050.1	6838	6660.42	3250	45.741
Smp_178010.1	488	310.972	693.326	208.997
Smp_016050.1	3316	3138.42	2563	76.5529
Smp_130910.1	1113	935.419	575	57.6216
Smp_172850.1	647	469.47	861	171.917
Smp_130920.1	2289	2111.42	434	19.2681
Smp_130930.1	489	311.972	211	63.4003
Smp_016090.1	6991	6813.42	1216	16.7299
Smp_130940.1	13950	13772.4	665.74	4.53126
Smp_209000.1	222131	221953	4004.45	1.69124
Smp_016200.1	1177	999.419	2.55194e-05	2.39357e-06
Smp_016200.4	5574	5396.42	73.6868	1.27999
Smp_016200.3	1492	1314.42	850.666	60.6665
Smp_016180.1	5049	4871.42	6.43205	0.123771
Smp_130980.1	1194	1016.42	468.449	43.2029
Smp_130970.1	1527	1349.42	227.901	15.8315
Smp_130960.1	2352	2174.42	28.312	1.22054
Smp_016130.1	5892	5714.42	209.201	3.43174
Smp_130950.1	1715	1537.42	1441.64	87.8998
Smp_171010.1	2046	1868.42	88	4.41502
Smp_089570.1	427	250.785	2164	808.873
Smp_171020.1	3829	3651.42	1978	50.7795
Smp_089590.1	1677	1499.42	1415	88.4621
Smp_171030.1	1065	887.419	138	14.5772
Smp_171040.1	3960	3782.42	1162	28.7979
Smp_089630.1	1707	1529.42	754	46.2135
Smp_089640.2	1176	998.419	2520.62	236.656
Smp_089640.3	2750	2572.42	100.382	3.65794
Smp_089650.1	2451	2273.42	271	11.1741
Smp_089670.1	6354	6176.42	3103	47.0944
Smp_171060.1	819	641.419	1	0.146144
Smp_171070.1	6709	6531.42	677.292	9.72058
Smp_089700.1	3334	3156.42	3503	104.033
Smp_171080.1	720	542.419	441	76.2127
Smp_171090.1	2014	1836.42	429	21.8982
Smp_196980.1	225	69.3896	1	1.35092
Smp_196580.1	51	26	0	0
Smp_022640.1	887	709.419	3947	521.54
