target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	226.218	407	152.086
Smp_197050.1	186	43.6147	25	48.4539
Smp_160500.1	5316	5138.39	170	2.79669
Smp_160490.1	3894	3716.39	226	5.14054
Smp_070540.1	5995	5817.39	422.24	6.13555
Smp_160480.1	791	613.423	6.72566	0.926822
Smp_160480.2	659	481.678	9.27434	1.6276
Smp_160470.1	3111	2933.39	263	7.57893
Smp_160460.1	7563	7385.39	540.054	6.18139
Smp_160450.1	3576	3398.39	866	21.541
Smp_191780.1	297	127.737	26	17.206
Smp_160440.1	2374	2196.39	583	22.4378
Smp_160430.1	369	194.321	191	83.0876
Smp_160420.1	417	240.961	245	85.9491
Smp_160410.1	7034	6856.39	57.4467	0.708258
Smp_160410.2	875	697.389	459.383	55.6828
Smp_092930.1	1176	998.389	542	45.8903
Smp_092950.1	5574	5396.39	712	11.1532
Smp_173020.1	2529	2351.39	177.055	6.36509
Smp_200370.1	204	54.6269	7.18985	11.1259
Smp_200460.1	246	85.0639	2	1.9875
Smp_158440.1	660	482.678	322	56.3923
Smp_158430.1	813	635.423	178	23.6798
Smp_067090.1	434	257.575	414	135.868
Smp_158420.1	960	782.389	2.00032	0.216122
Smp_067060.1	1205	1027.39	48775.7	4013.19
Smp_067050.1	54	10.8	0	0
Smp_158410.1	597	419.701	0	0
Smp_184360.1	369	194.321	3	1.30504
Smp_193860.1	655	477.678	3	0.530894
Smp_179960.1	357	182.853	0	0
Smp_103610.1	1203	1025.39	51665.3	4259.24
Smp_179950.1	912	734.389	54.0225	6.21827
Smp_168300.1	288	119.871	0	0
Smp_168290.1	336	162.989	1	0.518636
Smp_085010.1	1122	944.389	3403	304.602
Smp_168280.1	327	154.737	0	0
Smp_200280.1	246	85.0639	726	721.461
Smp_180980.1	474	297.073	3	0.853649
Smp_196410.1	1479	1301.39	8	0.519642
Smp_105320.1	401	225.23	1256	471.396
Smp_105330.1	975	797.389	953	101.029
Smp_105340.1	3678	3500.39	211	5.09551
Smp_105360.1	3393	3215.39	104	2.73414
Smp_105370.1	1002	824.389	59	6.0498
Smp_181040.1	2006	1828.39	115	5.31681
Smp_181050.1	6838	6660.39	2843	36.0827
Smp_178010.1	488	311.028	1988.16	540.349
Smp_016050.1	3316	3138.39	2810	75.687
Smp_130910.1	1113	935.389	750	67.7783
Smp_172850.1	647	469.678	1252	225.333
Smp_130920.1	2289	2111.39	270	10.8098
Smp_130930.1	489	312.028	263	71.2498
Smp_016090.1	6991	6813.39	1362	16.898
Smp_130940.1	13950	13772.4	739.214	4.53714
Smp_209000.1	222131	221953	5689.74	2.16697
Smp_016200.1	1177	999.389	172.222	14.5672
Smp_016200.4	5574	5396.39	147.18	2.30551
