target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	229.356	254	71.6875
Smp_197050.1	186	45.6335	39	55.3225
Smp_160500.1	5316	5142.29	277	3.48694
Smp_160490.1	3894	3720.29	264	4.59354
Smp_070540.1	5995	5821.29	1930.86	21.471
Smp_160480.1	791	617.289	15.3104	1.60553
Smp_160480.2	659	485.357	20.6896	2.75937
Smp_160470.1	3111	2937.29	368	8.11002
Smp_160460.1	7563	7389.29	541.234	4.74136
Smp_160450.1	3576	3402.29	811	15.4302
Smp_191780.1	297	130.371	9	4.46872
Smp_160440.1	2374	2200.29	760	22.3591
Smp_160430.1	369	197.284	304	99.7478
Smp_160420.1	417	244.148	377	99.956
Smp_160410.1	7034	6860.29	105.505	0.995522
Smp_160410.2	875	701.289	422.554	39.0037
Smp_092930.1	1176	1002.29	996	64.326
Smp_092950.1	5574	5400.29	1453	17.4168
Smp_173020.1	2529	2355.29	269.432	7.40502
Smp_200370.1	204	56.8857	7.32192	8.33188
Smp_200460.1	246	87.6735	7	5.16833
Smp_158440.1	660	486.357	242	32.2093
Smp_158430.1	813	639.289	227	22.9852
Smp_067090.1	434	260.959	377	93.517
Smp_158420.1	960	786.289	31.0052	2.55254
Smp_067060.1	1205	1031.29	34941.7	2193.23
Smp_067050.1	54	21.25	0	0
Smp_158410.1	597	423.384	1	0.152893
Smp_184360.1	369	197.284	0	0
Smp_193860.1	655	481.357	1	0.134479
Smp_179960.1	357	185.758	0	0
Smp_103610.1	1203	1029.29	140181	8816.03
Smp_179950.1	912	738.289	333.015	29.1983
Smp_168300.1	288	122.414	1	0.528798
Smp_168290.1	336	165.841	0	0
Smp_085010.1	1122	948.289	452	30.8545
Smp_168280.1	327	157.439	0	0
Smp_200280.1	246	87.6735	1072	791.493
Smp_180980.1	474	300.663	1	0.215299
Smp_196410.1	1479	1305.29	2	0.0991845
Smp_105320.1	401	228.371	2693	763.337
Smp_105330.1	975	801.289	854	68.9905
Smp_105340.1	3678	3504.29	28	0.517224
Smp_105360.1	3393	3219.29	39	0.784197
Smp_105370.1	1002	828.289	93	7.26811
Smp_181040.1	2006	1832.29	32	1.13052
Smp_181050.1	6838	6664.29	5390	52.3547
Smp_178010.1	488	314.605	1208.71	248.701
Smp_016050.1	3316	3142.29	2858	58.8758
Smp_130910.1	1113	939.289	987	68.0203
Smp_172850.1	647	473.357	1353	185.025
Smp_130920.1	2289	2115.29	212	6.48764
Smp_130930.1	489	315.605	87	17.8442
Smp_016090.1	6991	6817.29	1481	14.0625
Smp_130940.1	13950	13776.3	1270.49	5.9698
Smp_209000.1	222131	221957	4986.42	1.45425
Smp_016200.1	1177	1003.29	72	4.64544
Smp_016200.4	5574	5400.29	121.961	1.46192
Smp_016200.3	1492	1318.29	907.852	44.5785
Smp_016180.1	5049	4875.29	135.565	1.79998
Smp_130980.1	1194	1020.29	898.452	57.0023
Smp_130970.1	1527	1353.29	304.284	14.5549
Smp_130960.1	2352	2178.29	0	0
Smp_016130.1	5892	5718.29	418.224	4.73439
Smp_130950.1	1715	1541.29	688.552	28.9183
Smp_171010.1	2046	1872.29	48	1.65954
Smp_089570.1	427	254.055	3423	872.167
Smp_171020.1	3829	3655.29	931	16.4873
Smp_089590.1	1677	1503.29	1573	67.734
Smp_171030.1	1065	891.289	245	17.7938
Smp_171040.1	3960	3786.29	1807	30.8933
Smp_089630.1	1707	1533.29	922	38.9249
Smp_089640.2	1176	1002.29	3080.73	198.967
Smp_089640.3	2750	2576.29	173.265	4.35349
Smp_089650.1	2451	2277.29	455	12.9334
Smp_089670.1	6354	6180.29	3902	40.8695
Smp_171060.1	819	645.289	0	0
Smp_171070.1	6709	6535.29	1395.56	13.8231
Smp_089700.1	3334	3160.29	2064	42.2769
Smp_171080.1	720	546.289	554	65.6459
Smp_171090.1	2014	1840.29	333	11.7133
Smp_196980.1	225	71.6936	3	2.70871
Smp_196580.1	51	38	1	1.70348
Smp_022640.1	887	713.289	7321	664.393
Smp_092150.1	791	617.289	32.9619	3.45656
Smp_151640.1	691	517.357	227.921	28.5177
Smp_055390.1	987	813.289	443	35.2598
Smp_055400.1	3481	3307.29	1250.84	24.4823
Smp_151650.1	650	476.357	866	117.681
Smp_055420.2	567	393.409	121.352	19.9675
Smp_055420.1	974	800.289	318.648	25.7742
Smp_151660.1	2052	1878.29	74	2.55029
Smp_151670.1	1470	1296.29	300	14.981
Smp_055440.1	2328	2154.29	87	2.61418
Smp_055450.1	683	509.357	487	61.891
Smp_200290.1	204	56.8857	54	61.4486
Smp_151680.1	564	390.409	18	2.98451
Smp_118240.1	936	762.289	37	3.14197
Smp_167830.1	303	135.594	207	98.821
Smp_152160.1	345	174.291	14	5.19965
Smp_209020.1	123	13.8745	0	0
Smp_152150.1	9707	9533.29	8665.8	58.8419
Smp_200940.1	438	264.909	4	0.977425
Smp_196600.1	3423	3249.29	386	7.68988
Smp_152180.1	1518	1344.29	813	39.1488
Smp_152190.1	681	507.357	0	0
Smp_152200.1	1068	894.289	0	0
Smp_152210.1	279	114.82	15	8.45658
Smp_200970.1	171	36.771	12.3915	21.8142
Smp_152220.1	1221	1047.29	85	5.25379
Smp_056200.1	1446	1272.29	1322	67.2614
Smp_152230.1	4512	4338.29	727	10.8477
Smp_152260.1	6051	5877.29	116	1.27762
Smp_152270.1	962	788.289	843	69.2249
Smp_056240.1	1939	1765.29	1186	43.49
Smp_152280.1	1041	867.289	17	1.26884
Smp_056260.1	1017	843.289	118	9.05787
Smp_152290.1	1041	867.289	42	3.13477
Smp_056280.1	1947	1773.29	15	0.547561
Smp_056290.1	5859	5685.29	87	0.990575
Smp_152300.1	2525	2351.29	865	23.8139
Smp_152310.1	1134	960.289	8	0.539273
Smp_200300.1	354	182.828	227	80.372
Smp_176450.1	4560	4386.29	17	0.250884
Smp_176440.1	6912	6738.29	840.582	8.07516
Smp_176430.2	3774	3600.29	166.355	2.99102
Smp_176430.1	4233	4059.29	110.645	1.76442
Smp_176460.1	981	807.289	319	25.5789
Smp_189980.1	783	609.289	0	0
Smp_098840.1	1944	1770.29	910.549	33.2951
Smp_098850.1	813	639.289	117	11.847
Smp_163240.1	3279	3105.29	202.613	4.22362
Smp_163230.1	1635	1461.29	372	16.4789
Smp_163220.1	1119	945.289	357	24.4469
Smp_163210.1	2427	2253.29	1346	38.6677
Smp_200310.1	285	119.875	54.2661	29.3036
Smp_068990.1	7963	7789.29	1332.44	11.0731
Smp_159540.1	12903	12729.3	414	2.10531
Smp_116070.1	267	104.533	0	0
Smp_159550.1	2046	1872.29	249	8.60889
Smp_159560.1	2208	2034.29	9	0.286385
Smp_159570.1	3744	3570.29	202	3.66242
Smp_159590.1	2091	1917.29	431	14.5516
Smp_159600.1	4779	4605.29	337	4.73689
Smp_129610.1	1155	981.289	485	31.9938
Smp_129600.1	444	270.893	18	4.30126
Smp_129590.1	4881	4707.29	767	10.5474
Smp_129580.1	3912	3738.29	1380.94	23.9124
Smp_201090.1	1422	1248.29	13	0.674138
Smp_129550.1	2800	2626.29	627.29	15.4613
Smp_129560.1	2528	2354.29	1259	34.6168
Smp_013690.1	3060	2886.29	1345	30.165
Smp_209010.1	38357	38183.3	1753.28	2.97233
Smp_129570.1	1974	1800.29	674.761	24.2621
Smp_124360.1	615	441.357	958	140.507
Smp_124350.1	3279	3105.29	43	0.896369
Smp_004090.1	834	660.289	584	57.2531
Smp_004080.1	1397	1223.29	1552	82.1265
Smp_004070.1	776	602.289	33	3.54674
Smp_004060.1	1587	1413.29	414	18.9623
Smp_124340.1	2328	2154.29	47	1.41226
Smp_004040.1	1251	1077.29	349	20.9707
Smp_004020.1	4161	3987.29	2104	34.1577
Smp_124320.1	1230	1056.29	684	41.9173
Smp_004000.1	3090	2916.29	542.08	12.0324
Smp_003990.1	1172	998.289	7308	473.874
Smp_003980.1	2372	2198.29	939	27.6504
Smp_114240.1	415	242.178	59.1521	15.8109
Smp_003970.1	809	635.289	4175	425.408
Smp_101670.1	3278	3104.29	356.227	7.42823
Smp_124310.1	712	538.323	288	34.6314
Smp_124300.1	2014	1840.29	952	33.4866
Smp_124290.1	384	211.796	145	44.317
Smp_003940.1	1118	944.289	319	21.8679
Smp_003930.1	1720	1546.29	35	1.4652
Smp_124280.1	2021	1847.29	61	2.13755
Smp_003900.1	3570	3396.29	99	1.88691
Smp_124250.1	1125	951.289	215	14.6301
Smp_124240.1	1748	1574.29	946	38.898
Smp_003860.1	809	635.289	592	60.3213
Smp_124230.1	1017	843.289	275	21.1094
Smp_124220.1	6395	6221.29	1927	20.0503
Smp_124210.1	2163	1989.29	26	0.84605
Smp_193890.1	162	31.754	6	12.2313
Smp_193900.1	243	85.2773	0	0
Smp_124200.1	4437	4263.29	13	0.197387
Smp_003790.1	831	657.289	7	0.689385
Smp_124190.1	2616	2442.29	48	1.27223
Smp_003770.1	582	408.384	5842	926.006
Smp_003760.1	576	402.409	49	7.88223
Smp_124180.1	6729	6555.29	2	0.0197496
Smp_124170.1	3903	3729.29	53	0.919963
Smp_124160.1	1006	832.289	169.688	13.1976
Smp_124160.2	936	762.289	210.312	17.8593
Smp_003700.1	1180	1006.29	1357	87.2926
Smp_124130.1	1434	1260.29	30	1.54089
Smp_003670.1	3459	3285.29	455	8.96517
Smp_003660.1	2381	2207.29	4344	127.395
Smp_124120.1	1713	1539.29	324	13.6253
Smp_124110.1	2250	2076.29	698	21.7615
Smp_003630.1	1610	1436.29	1799	81.0793
Smp_003620.1	2144	1970.29	1118	36.731
Smp_003610.1	2325	2151.29	243.259	7.31965
Smp_003610.2	471	297.681	341.357	74.2297
Smp_003600.1	471	297.681	1	0.217455
Smp_188200.1	480	306.644	1	0.211099
Smp_124100.1	2775	2601.29	875	21.7741
Smp_124090.1	2865	2691.29	9	0.216473
Smp_124080.1	279	114.82	3	1.69132
Smp_124070.1	698	524.357	1306	161.227
Smp_124060.1	711	537.323	835	100.594
Smp_124050.1	2408	2234.29	30.3441	0.879136
Smp_124050.2	1167	993.289	0	0
Smp_124050.4	1305	1131.29	118.905	6.80376
Smp_124040.1	1041	867.289	187	13.9572
Smp_200320.1	219	67.3837	10	9.60652
Smp_124030.1	1407	1233.29	304	15.9562
Smp_124020.1	1286	1112.29	611	35.5585
Smp_124010.1	375	203.056	7	2.23153
Smp_124000.1	415	242.178	914	244.304
Smp_003440.1	1797	1623.29	112	4.46625
Smp_200330.1	750	576.289	1006	113
Smp_123990.1	1203	1029.29	1418.45	89.2066
Smp_123980.1	219	67.3837	0	0
Smp_003410.1	663	489.357	8827	1167.64
Smp_123970.1	273	109.62	1	0.590516
Smp_123960.1	13015	12841.3	487	2.45494
Smp_188600.1	213	63.0086	1	1.02736
Smp_123950.1	2732	2558.29	952.733	24.107
Smp_123940.1	3587	3413.29	973.267	18.4578
Smp_003340.1	3440	3266.29	1895	37.5556
Smp_003330.1	586	412.384	207	32.493
Smp_123930.1	1284	1110.29	2172	126.632
Smp_123920.1	573	399.409	0	0
Smp_003300.1	1167	993.289	0	0
Smp_123910.1	741	567.289	31	3.53735
Smp_123900.1	195	51.3783	0	0
Smp_003280.1	3027	2853.29	41	0.930162
Smp_123880.1	586	412.384	4597	721.595
Smp_003250.1	408	235.283	348	95.7434
Smp_123870.1	498	324.565	839	167.333
Smp_003230.1	3038	2864.29	669.594	15.1327
Smp_123860.1	2709	2535.29	106	2.70644
Smp_123850.1	264	102.071	0	0
