target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	242.92	329	79.5419
Smp_197050.1	186	52.6294	14	15.6229
Smp_160500.1	5316	5155.94	172	1.95922
Smp_160490.1	3894	3733.94	194	3.05139
Smp_070540.1	5995	5834.94	1589.1	15.9948
Smp_160480.1	791	630.937	5.65616	0.5265
Smp_160480.2	659	498.937	2.34384	0.275896
Smp_160470.1	3111	2950.94	132	2.6271
Smp_160460.1	7563	7402.94	193.063	1.53165
Smp_160450.1	3576	3415.94	645	11.0895
Smp_191780.1	297	142.419	5	2.06189
Smp_160440.1	2374	2213.94	580	15.386
Smp_160430.1	369	210.504	380	106.02
Smp_160420.1	417	257.607	367	83.6705
Smp_160410.1	7034	6873.94	54.8083	0.468278
Smp_160410.2	875	714.937	342.662	28.1489
Smp_092930.1	1176	1015.94	825	47.6925
Smp_092950.1	5574	5413.94	630	6.83424
Smp_173020.1	2529	2368.94	140.111	3.47363
Smp_200370.1	204	64.9207	7.43143	6.72283
Smp_200460.1	246	97.7593	10	6.00765
Smp_158440.1	660	499.937	213	25.0223
Smp_158430.1	813	652.937	78	7.01594
Smp_067090.1	434	274.434	403	86.2442
Smp_158420.1	960	799.937	25.0111	1.83629
Smp_067060.1	1205	1044.94	47369	2662.36
Smp_067050.1	54	18	0	0
Smp_158410.1	597	436.985	0	0
Smp_184360.1	369	210.504	0	0
Smp_193860.1	655	494.937	0	0
Smp_179960.1	357	198.955	0	0
Smp_103610.1	1203	1042.94	87283.4	4915.15
Smp_179950.1	912	751.937	253.561	19.8045
Smp_168300.1	288	134.149	0	0
Smp_168290.1	336	178.789	0	0
Smp_085010.1	1122	961.937	2780	169.731
Smp_168280.1	327	170.256	0	0
Smp_200280.1	246	97.7593	399	239.705
Smp_180980.1	474	314.217	0	0
Smp_196410.1	1479	1318.94	1	0.0445286
Smp_105320.1	401	241.932	3477	844.063
Smp_105330.1	975	814.937	867	62.4824
Smp_105340.1	3678	3517.94	16	0.267113
Smp_105360.1	3393	3232.94	42	0.762983
Smp_105370.1	1002	841.937	123	8.58002
Smp_181040.1	2006	1845.94	47	1.49535
Smp_181050.1	6838	6677.94	2990.24	26.2982
Smp_178010.1	488	328.185	918.47	164.365
Smp_016050.1	3316	3155.94	2603	48.4405
Smp_130910.1	1113	952.937	768	47.3326
Smp_172850.1	647	486.937	1351	162.947
Smp_130920.1	2289	2128.94	81	2.23452
Smp_130930.1	489	329.185	81	14.4513
Smp_016090.1	6991	6830.94	1139	9.79279
Smp_130940.1	13950	13789.9	987.82	4.20706
Smp_209000.1	222131	221971	4738.16	1.25365
Smp_016200.1	1177	1016.94	136.627	7.89052
Smp_016200.4	5574	5413.94	111.609	1.21074
Smp_016200.3	1492	1331.94	799.217	35.2406
Smp_016180.1	5049	4888.94	3.60027	0.0432498
Smp_130980.1	1194	1033.94	708.674	40.2546
Smp_130970.1	1527	1366.94	501.845	21.5618
Smp_130960.1	2352	2191.94	4.41355	0.118256
Smp_016130.1	5892	5731.94	386.435	3.95948
Smp_130950.1	1715	1554.94	700.91	26.4735
Smp_171010.1	2046	1885.94	49	1.52592
Smp_089570.1	427	267.502	3979	873.594
Smp_171020.1	3829	3668.94	723	11.5734
Smp_089590.1	1677	1516.94	1312	50.796
Smp_171030.1	1065	904.937	175	11.3575
Smp_171040.1	3960	3799.94	1160	17.9285
Smp_089630.1	1707	1546.94	1082	41.0788
Smp_089640.2	1176	1015.94	3589.88	207.528
Smp_089640.3	2750	2589.94	96.123	2.17972
Smp_089650.1	2451	2290.94	355	9.10077
Smp_089670.1	6354	6193.94	1021	9.68104
Smp_171060.1	819	658.937	1	0.089129
Smp_171070.1	6709	6548.94	898.945	8.06167
Smp_089700.1	3334	3173.94	1534	28.3851
Smp_171080.1	720	559.937	738	77.4069
Smp_171090.1	2014	1853.94	395	12.5131
Smp_196980.1	225	80.7294	0	0
Smp_196580.1	51	15	1	3.91536
Smp_022640.1	887	726.937	10028	810.178
Smp_092150.1	791	630.937	56.1048	5.22248
Smp_151640.1	691	530.937	161	17.8092
Smp_055390.1	987	826.937	374	26.5621
Smp_055400.1	3481	3320.94	1179.77	20.8641
Smp_151650.1	650	489.937	934	111.962
Smp_055420.2	567	406.985	92.8201	13.3945
Smp_055420.1	974	813.937	286.18	20.6496
Smp_151660.1	2052	1891.94	73	2.2661
Smp_151670.1	1470	1309.94	256	11.4776
Smp_055440.1	2328	2167.94	61	1.65252
Smp_055450.1	683	522.937	443	49.7527
Smp_200290.1	204	64.9207	37	33.472
Smp_151680.1	564	403.985	4	0.581511
Smp_118240.1	936	775.937	17	1.28672
Smp_167830.1	303	147.943	101	40.0949
Smp_152160.1	345	187.438	18	5.63997
Smp_209020.1	123	15.7469	2	7.45932
Smp_152150.1	9707	9546.94	6116.01	37.6242
Smp_200940.1	438	278.407	3	0.632856
Smp_196600.1	3423	3262.94	195	3.50985
Smp_152180.1	1518	1357.94	472	20.4139
Smp_152190.1	681	520.937	1	0.11274
Smp_152200.1	1068	907.937	0	0
Smp_152210.1	279	126.185	3	1.39629
Smp_200970.1	171	42.7613	6	8.24069
Smp_152220.1	1221	1060.94	58	3.21071
Smp_056200.1	1446	1285.94	1478	67.5022
Smp_152230.1	4512	4351.94	345	4.65586
Smp_152260.1	6051	5890.94	53	0.52839
Smp_152270.1	962	801.937	1070	78.3622
Smp_056240.1	1939	1778.94	1065	35.1603
Smp_152280.1	1041	880.937	20	1.33336
Smp_056260.1	1017	856.937	125	8.56691
Smp_152290.1	1041	880.937	57	3.80008
Smp_056280.1	1947	1786.94	24	0.788797
Smp_056290.1	5859	5698.94	127	1.3088
Smp_152300.1	2525	2364.94	537	13.3358
Smp_152310.1	1134	973.937	5	0.30151
Smp_200300.1	354	196.015	208	62.3215
Smp_176450.1	4560	4399.94	3	0.040044
Smp_176440.1	6912	6751.94	848.01	7.37625
Smp_176430.2	3774	3613.94	39.6013	0.643565
Smp_176430.1	4233	4072.94	53.3987	0.769991
Smp_176460.1	981	820.937	253	18.0998
Smp_189980.1	783	622.937	0	0
Smp_098840.1	1944	1783.94	776	25.5473
Smp_098850.1	813	652.937	165	14.8414
Smp_163240.1	3279	3118.94	66.5002	1.25222
Smp_163230.1	1635	1474.94	378	15.0516
Smp_163220.1	1119	958.937	171	10.4729
Smp_163210.1	2427	2266.94	576	14.9227
Smp_200310.1	285	131.471	76	33.9504
Smp_068990.1	7963	7802.94	648.007	4.87736
Smp_159540.1	12903	12742.9	288	1.32735
Smp_116070.1	267	115.684	2	1.01536
Smp_159550.1	2046	1885.94	210	6.53966
Smp_159560.1	2208	2047.94	7	0.200745
Smp_159570.1	3744	3583.94	171	2.8022
Smp_159590.1	2091	1930.94	161	4.89689
Smp_159600.1	4779	4618.94	82	1.04264
Smp_129610.1	1155	994.937	499	29.4556
Smp_129600.1	444	284.379	14	2.89131
Smp_129590.1	4881	4720.94	496	6.17045
Smp_129580.1	3912	3751.94	655.716	10.2642
Smp_201090.1	1422	1261.94	15	0.698098
Smp_129550.1	2800	2639.94	444.49	9.88853
Smp_129560.1	2528	2367.94	997	24.7279
Smp_013690.1	3060	2899.94	1285	26.0242
Smp_209010.1	38357	38196.9	1166.46	1.79351
Smp_129570.1	1974	1813.94	811.937	26.2883
Smp_124360.1	615	454.985	1018	131.406
Smp_124350.1	3279	3118.94	41	0.772041
Smp_004090.1	834	673.937	550	47.9299
Smp_004080.1	1397	1236.94	1161	55.1249
Smp_004070.1	776	615.937	10	0.953513
Smp_004060.1	1587	1426.94	374	15.3932
Smp_124340.1	2328	2167.94	24	0.650171
Smp_004040.1	1251	1090.94	233	12.5435
Smp_004020.1	4161	4000.94	1589	23.3252
Smp_124320.1	1230	1069.94	591	32.4408
Smp_004000.1	3090	2929.94	497.79	9.97817
Smp_003990.1	1172	1011.94	5738	333.02
Smp_003980.1	2372	2211.94	1059	28.1181
Smp_114240.1	415	255.619	35.6238	8.18481
Smp_003970.1	809	648.937	4897	443.19
Smp_101670.1	3278	3117.94	370	6.96943
Smp_124310.1	712	551.937	357	37.9876
Smp_124300.1	2014	1853.94	812	25.7231
Smp_124290.1	384	225.155	199	51.908
Smp_003940.1	1118	957.937	251	15.3886
Smp_003930.1	1720	1559.94	57	2.14601
Smp_124280.1	2021	1860.94	66	2.08293
Smp_003900.1	3570	3409.94	65	1.11952
Smp_124250.1	1125	964.937	26	1.58248
Smp_124240.1	1748	1587.94	1501	55.515
Smp_003860.1	809	648.937	577	52.2199
Smp_124230.1	1017	856.937	325	22.274
Smp_124220.1	6395	6234.94	1246	11.7368
Smp_124210.1	2163	2002.94	8	0.234577
Smp_193890.1	162	37.1714	1	1.57999
Smp_193900.1	243	95.3143	0	0
