target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	234.97	271	98.5941
Smp_197050.1	186	48.6675	99	173.897
Smp_160500.1	5316	5147.55	183	3.0391
Smp_160490.1	3894	3725.55	271	6.21832
Smp_070540.1	5995	5826.55	354.284	5.19797
Smp_160480.1	791	622.554	26.5535	3.64619
Smp_160480.2	659	490.554	30.4465	5.30574
Smp_160470.1	3111	2942.55	355	10.3133
Smp_160460.1	7563	7394.55	1368.25	15.8178
Smp_160450.1	3576	3407.55	613	15.3784
Smp_191780.1	297	135.673	27	17.0123
Smp_160440.1	2374	2205.55	370	14.341
Smp_160430.1	369	202.886	164	69.1012
Smp_160420.1	417	249.669	148	50.6747
Smp_160410.1	7034	6865.55	78.8483	0.981773
Smp_160410.2	875	706.554	468.282	56.6574
Smp_092930.1	1176	1007.55	315	26.7262
Smp_092950.1	5574	5405.55	790	12.4934
Smp_173020.1	2529	2360.55	238.073	8.62167
Smp_200370.1	204	60.7183	2.36485	3.3295
Smp_200460.1	246	92.0895	5	4.64146
Smp_158440.1	660	491.554	189	32.8689
Smp_158430.1	813	644.554	193	25.5972
Smp_067090.1	434	266.437	333	106.842
Smp_158420.1	960	791.554	18.0034	1.94432
Smp_067060.1	1205	1036.55	20772.6	1713.14
Smp_067050.1	54	20.25	0	0
Smp_158410.1	597	428.577	0	0
Smp_184360.1	369	202.886	0	0
Smp_193860.1	655	486.554	0	0
Smp_179960.1	357	191.36	0	0
Smp_103610.1	1203	1034.55	40959	3384.47
Smp_179950.1	912	743.554	60.3836	6.94227
Smp_168300.1	288	127.665	0	0
Smp_168290.1	336	171.413	0	0
Smp_085010.1	1122	953.554	185	16.5852
Smp_168280.1	327	163.008	0	0
Smp_200280.1	246	92.0895	355	329.544
Smp_180980.1	474	305.901	13	3.63293
Smp_196410.1	1479	1310.55	0	0
Smp_105320.1	401	233.994	889	324.782
Smp_105330.1	975	806.554	612	64.8653
Smp_105340.1	3678	3509.55	239	5.82158
Smp_105360.1	3393	3224.55	87	2.30645
Smp_105370.1	1002	833.554	79	8.10192
Smp_181040.1	2006	1837.55	66	3.07042
Smp_181050.1	6838	6669.55	2714	34.7863
Smp_178010.1	488	319.808	1404.49	375.427
Smp_016050.1	3316	3147.55	2066	56.1115
Smp_130910.1	1113	944.554	580	52.4923
Smp_172850.1	647	478.554	1076	192.21
Smp_130920.1	2289	2120.55	625	25.1956
Smp_130930.1	489	320.808	296	78.8754
Smp_016090.1	6991	6822.55	1185	14.8479
Smp_130940.1	13950	13781.6	905.544	5.61702
Smp_209000.1	222131	221963	3707.35	1.42784
Smp_016200.1	1177	1008.55	126.142	10.6919
Smp_016200.4	5574	5405.55	80.6661	1.27569
Smp_016200.3	1492	1323.55	806.752	52.1066
Smp_016180.1	5049	4880.55	185.806	3.2545
Smp_130980.1	1194	1025.55	439.331	36.6208
