target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	235.332	287	82.3694
Smp_197050.1	186	46.9712	19	27.3203
Smp_160500.1	5316	5148.83	173	2.26935
Smp_160490.1	3894	3726.83	240	4.34947
Smp_070540.1	5995	5827.83	1657.74	19.2121
Smp_160480.1	791	623.825	3.9088	0.423199
Smp_160480.2	659	491.825	7.0912	0.973808
Smp_160470.1	3111	2943.83	162	3.71679
Smp_160460.1	7563	7395.83	282.208	2.57719
Smp_160450.1	3576	3408.83	556	11.0163
Smp_191780.1	297	134.899	7	3.50472
Smp_160440.1	2374	2206.83	529	16.1902
Smp_160430.1	369	203.081	264	87.801
Smp_160420.1	417	250.234	304	82.0524
Smp_160410.1	7034	6866.83	49.1466	0.483394
Smp_160410.2	875	707.825	288.846	27.5616
Smp_092930.1	1176	1008.83	671	44.9232
Smp_092950.1	5574	5406.83	935	11.6798
Smp_173020.1	2529	2361.83	190.216	5.43956
Smp_200370.1	204	59.0309	5.01413	5.73694
Smp_200460.1	246	90.7875	10	7.43941
Smp_158440.1	660	492.825	181	24.8056
Smp_158430.1	813	645.825	84	8.78474
Smp_067090.1	434	267.067	370	93.5719
Smp_158420.1	960	792.825	26.0106	2.21583
Smp_067060.1	1205	1037.83	20037.1	1303.99
Smp_067050.1	54	30.6667	0	0
Smp_158410.1	597	429.825	1.00012	0.157154
Smp_184360.1	369	203.081	0	0
Smp_193860.1	655	487.825	0	0
Smp_179960.1	357	191.396	0	0
Smp_103610.1	1203	1035.83	83460.1	5441.98
Smp_179950.1	912	744.825	160.8	14.5813
Smp_168300.1	288	126.694	0	0
Smp_168290.1	336	171.144	0	0
Smp_085010.1	1122	954.825	417	29.4969
Smp_168280.1	327	162.606	0	0
Smp_200280.1	246	90.7875	302	224.67
Smp_180980.1	474	306.926	1	0.220055
Smp_196410.1	1479	1311.83	0	0
Smp_105320.1	401	234.343	2585	745.027
Smp_105330.1	975	807.825	752	62.8731
Smp_105340.1	3678	3510.83	16	0.307805
Smp_105360.1	3393	3225.83	33	0.690936
Smp_105370.1	1002	834.825	68	5.50146
Smp_181040.1	2006	1838.83	34	1.24883
Smp_181050.1	6838	6670.83	3155	31.9436
Smp_178010.1	488	320.911	758.414	159.62
Smp_016050.1	3316	3148.83	2383	51.114
Smp_130910.1	1113	945.825	740	52.8427
Smp_172850.1	647	479.825	1275	179.47
Smp_130920.1	2289	2121.83	175	5.57048
Smp_130930.1	489	321.911	82	17.2045
Smp_016090.1	6991	6823.83	948	9.38307
Smp_130940.1	13950	13782.8	960.885	4.70866
Smp_209000.1	222131	221964	4222.35	1.2848
Smp_016200.1	1177	1009.83	8.44395	0.56476
Smp_016200.4	5574	5406.83	67.9847	0.849246
Smp_016200.3	1492	1324.83	801.463	40.8592
Smp_016180.1	5049	4881.83	26.0886	0.360938
Smp_130980.1	1194	1026.83	670.049	44.0732
Smp_130970.1	1527	1359.83	428.684	21.2921
Smp_130960.1	2352	2184.83	3.11587	0.0963224
Smp_016130.1	5892	5724.83	340.133	4.01283
Smp_130950.1	1715	1547.83	621.91	27.1375
Smp_171010.1	2046	1878.83	34	1.22224
Smp_089570.1	427	260.12	3005	780.253
Smp_171020.1	3829	3661.83	795	14.6634
Smp_089590.1	1677	1509.83	1139	50.952
Smp_171030.1	1065	897.825	202	15.1958
Smp_171040.1	3960	3792.83	1188	21.1552
Smp_089630.1	1707	1539.83	867	38.0288
Smp_089640.2	1176	1008.83	2652.42	177.579
Smp_089640.3	2750	2582.83	56.5755	1.47944
Smp_089650.1	2451	2283.83	340	10.055
Smp_089670.1	6354	6186.83	1274	13.908
Smp_171060.1	819	651.825	0	0
Smp_171070.1	6709	6541.83	826.473	8.53285
Smp_089700.1	3334	3166.83	1442	30.7543
Smp_171080.1	720	552.825	634	77.4579
Smp_171090.1	2014	1846.83	292	10.6788
Smp_196980.1	225	74.3445	2	1.81696
Smp_196580.1	51	27.6667	0	0
Smp_022640.1	887	719.825	6939	651.08
Smp_092150.1	791	623.825	40.0571	4.33691
Smp_151640.1	691	523.825	147	18.9538
Smp_055390.1	987	819.825	304	25.0448
Smp_055400.1	3481	3313.83	1002.96	20.4418
Smp_151650.1	650	482.825	771	107.852
Smp_055420.2	567	399.825	89.1287	15.0561
Smp_055420.1	974	806.825	207.871	17.4012
Smp_151660.1	2052	1884.83	74	2.6517
Smp_151670.1	1470	1302.83	228	11.8199
Smp_055440.1	2328	2160.83	54	1.68787
Smp_055450.1	683	515.825	306	40.0667
Smp_200290.1	204	59.0309	28	32.0363
Smp_151680.1	564	396.825	8	1.36162
Smp_118240.1	936	768.825	16	1.40558
Smp_167830.1	303	140.42	112	53.8708
Smp_152160.1	345	179.834	19	7.13585
Smp_209020.1	123	14.2574	0	0
Smp_152150.1	9707	9539.83	5905.22	41.8081
Smp_200940.1	438	271.054	2	0.498355
Smp_196600.1	3423	3255.83	303	6.28559
Smp_152180.1	1518	1350.83	522	26.0997
Smp_152190.1	681	513.825	0	0
Smp_152200.1	1068	900.825	0	0
Smp_152210.1	279	118.755	4	2.27495
Smp_200970.1	171	37.7111	6.88541	12.3318
Smp_152220.1	1221	1053.83	100	6.40908
Smp_056200.1	1446	1278.83	1215	64.1696
Smp_152230.1	4512	4344.83	358	5.56513
Smp_152260.1	6051	5883.83	76	0.872405
Smp_152270.1	962	794.825	876	74.4384
Smp_056240.1	1939	1771.83	798	30.4191
Smp_152280.1	1041	873.825	19	1.46857
Smp_056260.1	1017	849.825	139	11.0471
Smp_152290.1	1041	873.825	46	3.55548
Smp_056280.1	1947	1779.83	25	0.948696
Smp_056290.1	5859	5691.83	115	1.36462
Smp_152300.1	2525	2357.83	680	19.4788
Smp_152310.1	1134	966.825	2	0.139716
Smp_200300.1	354	188.492	196	70.2308
Smp_176450.1	4560	4392.83	2	0.0307504
Smp_176440.1	6912	6744.83	780	7.81067
Smp_176430.2	3774	3606.83	93.7869	1.75623
Smp_176430.1	4233	4065.83	21.2131	0.352388
Smp_176460.1	981	813.825	192	15.9344
Smp_189980.1	783	615.825	0	0
Smp_098840.1	1944	1776.83	665	25.2779
Smp_098850.1	813	645.825	96	10.0397
Smp_163240.1	3279	3111.83	74.9981	1.62779
Smp_163230.1	1635	1467.83	296	13.6201
Smp_163220.1	1119	951.825	212	15.0433
Smp_163210.1	2427	2259.83	1002	29.9473
Smp_200310.1	285	124.03	39	21.2374
Smp_068990.1	7963	7795.83	798.11	6.91457
Smp_159540.1	12903	12735.8	429	2.27507
Smp_116070.1	267	108.285	0	0
Smp_159550.1	2046	1878.83	210	7.54914
Smp_159560.1	2208	2040.83	17	0.56261
Smp_159570.1	3744	3576.83	167	3.15343
Smp_159590.1	2091	1923.83	212	7.44277
Smp_159600.1	4779	4611.83	208	3.04618
Smp_129610.1	1155	987.825	452	30.9046
Smp_129600.1	444	276.999	11	2.68213
Smp_129590.1	4881	4713.83	544	7.79453
Smp_129580.1	3912	3744.83	734.831	13.2532
Smp_201090.1	1422	1254.83	15	0.80737
Smp_129550.1	2800	2632.83	350.252	8.98511
Smp_129560.1	2528	2360.83	949	27.1498
Smp_013690.1	3060	2892.83	1037	24.2115
Smp_209010.1	38357	38189.8	1388.49	2.4556
Smp_129570.1	1974	1806.83	547.428	20.4633
Smp_124360.1	615	447.825	807	121.711
Smp_124350.1	3279	3111.83	28	0.607725
Smp_004090.1	834	666.825	486	49.2253
Smp_004080.1	1397	1229.83	969	53.2163
Smp_004070.1	776	608.825	16	1.77497
Smp_004060.1	1587	1419.83	324	15.4126
Smp_124340.1	2328	2160.83	25	0.781421
Smp_004040.1	1251	1083.83	179	11.1547
Smp_004020.1	4161	3993.83	1533	25.9249
Smp_124320.1	1230	1062.83	511	32.4731
Smp_004000.1	3090	2922.83	386.104	8.92207
Smp_003990.1	1172	1004.83	5232	351.675
Smp_003980.1	2372	2204.83	688	21.0755
Smp_114240.1	415	248.259	40.0084	10.8845
Smp_003970.1	809	641.825	3706	389.99
Smp_101670.1	3278	3110.83	282	6.12263
Smp_124310.1	712	544.825	227	28.1406
Smp_124300.1	2014	1846.83	692	25.3072
Smp_124290.1	384	217.668	129	40.0275
Smp_003940.1	1118	950.825	199	14.1357
Smp_003930.1	1720	1552.83	33	1.43534
Smp_124280.1	2021	1853.83	59	2.14955
Smp_003900.1	3570	3402.83	113	2.24287
Smp_124250.1	1125	957.825	83	5.8527
Smp_124240.1	1748	1580.83	1417	60.5411
Smp_003860.1	809	641.825	457	48.091
Smp_124230.1	1017	849.825	242	19.2331
Smp_124220.1	6395	6227.83	1095	11.8752
Smp_124210.1	2163	1995.83	18	0.609136
Smp_193890.1	162	32.5815	3	6.21891
Smp_193900.1	243	88.3407	0	0
Smp_124200.1	4437	4269.83	9	0.142363
Smp_003790.1	831	663.825	3	0.305233
Smp_124190.1	2616	2448.83	27	0.744681
Smp_003770.1	582	414.825	5585	909.332
Smp_003760.1	576	408.825	31	5.1214
Smp_124180.1	6729	6561.83	0	0
Smp_124170.1	3903	3735.83	53	0.958195
Smp_124160.1	1006	838.825	172.738	13.9085
Smp_124160.2	936	768.825	190.262	16.7143
Smp_003700.1	1180	1012.83	1139	75.9545
Smp_124130.1	1434	1266.83	34	1.8127
Smp_003670.1	3459	3291.83	343	7.03756
Smp_003660.1	2381	2213.83	3878	118.312
Smp_124120.1	1713	1545.83	268	11.7095
Smp_124110.1	2250	2082.83	424	13.7492
Smp_003630.1	1610	1442.83	1322	61.8845
Smp_003620.1	2144	1976.83	758	25.898
Smp_003610.1	2325	2157.83	200.678	6.28128
Smp_003610.2	471	303.926	312.813	69.5153
