target_id	length	eff_length	est_counts	tpm
Smp_186980.1	402	232.871	255	93.0002
Smp_197050.1	186	46.6842	27	49.1194
Smp_160500.1	5316	5145.27	166	2.74005
Smp_160490.1	3894	3723.27	217	4.94987
Smp_070540.1	5995	5824.27	988.388	14.4127
Smp_160480.1	791	620.273	9.95937	1.36367
Smp_160480.2	659	488.273	4.04063	0.702821
Smp_160470.1	3111	2940.27	212	6.12361
Smp_160460.1	7563	7392.27	557.123	6.40077
Smp_160450.1	3576	3405.27	701	17.4834
Smp_191780.1	297	133.449	19	12.092
Smp_160440.1	2374	2203.27	409	15.7657
Smp_160430.1	369	200.949	193	81.5701
Smp_160420.1	417	247.502	225	77.2082
Smp_160410.1	7034	6863.27	53.1083	0.657189
Smp_160410.2	875	704.273	357.82	43.1501
Smp_092930.1	1176	1005.27	517	43.6783
Smp_092950.1	5574	5403.27	631	9.91818
Smp_173020.1	2529	2358.27	137.78	4.96194
Smp_200370.1	204	58.5994	9.32185	13.5104
Smp_200460.1	246	89.6411	5	4.7372
Smp_158440.1	660	489.273	177	30.7242
Smp_158430.1	813	642.273	115	15.2068
Smp_067090.1	434	264.231	315	101.248
Smp_158420.1	960	789.273	14.0038	1.50688
Smp_067060.1	1205	1034.27	33441.4	2746.05
Smp_067050.1	54	13.6667	0	0
Smp_158410.1	597	426.364	0	0
Smp_184360.1	369	200.949	0	0
Smp_193860.1	655	484.273	1	0.175375
Smp_179960.1	357	189.47	0	0
Smp_103610.1	1203	1032.27	53675.6	4416.13
Smp_179950.1	912	741.273	95.9854	10.9973
Smp_168300.1	288	125.473	0	0
Smp_168290.1	336	169.497	0	0
Smp_085010.1	1122	951.273	2020	180.346
Smp_168280.1	327	161.087	0	0
Smp_200280.1	246	89.6411	558	528.672
Smp_180980.1	474	303.835	1	0.279525
Smp_196410.1	1479	1308.27	0	0
Smp_105320.1	401	231.906	1653	605.369
Smp_105330.1	975	804.273	702	74.1298
Smp_105340.1	3678	3507.27	117	2.83319
Smp_105360.1	3393	3222.27	59	1.55507
Smp_105370.1	1002	831.273	75	7.66261
Smp_181040.1	2006	1835.27	59	2.7303
Smp_181050.1	6838	6667.27	2898	36.9156
Smp_178010.1	488	317.712	1217.06	325.34
Smp_016050.1	3316	3145.27	2519	68.0188
Smp_130910.1	1113	942.273	592	53.3586
Smp_172850.1	647	476.297	1065	189.903
Smp_130920.1	2289	2118.27	342	13.7121
Smp_130930.1	489	318.712	242	64.4876
Smp_016090.1	6991	6820.27	1257	15.6528
Smp_130940.1	13950	13779.3	813.411	5.01353
Smp_209000.1	222131	221960	4157.48	1.59079
Smp_016200.1	1177	1006.27	20.7752	1.75343
Smp_016200.4	5574	5403.27	93.2099	1.46509
Smp_016200.3	1492	1321.27	797.633	51.2708
Smp_016180.1	5049	4878.27	4.85824	0.0845809
